
신비한 힘이 느껴지는 작은 조각.조각 안에 해당화 같은 무늬가 보인다.
신비한 힘이 느껴지는 큰 조각.조각 안에 해당화 같은 무늬가 보인다.
신비한 힘이 넘치는 석판.해당화파크의 인도의 방과 깊은 연관이 있는 것 같다.



신비한 힘이 넘치는 석판.해당화파크의 관동의 방과 깊은 연관이 있는 것 같다.



신비한 힘이 넘치는 석판.해당화파크의 성도의 방과 깊은 연관이 있는 것 같다.



신비한 힘이 넘치는 석판.해당화파크의 마음의 방과 깊은 연관이 있는 것 같다.


신비한 힘이 넘치는 석판.해당화파크의 무지개의 방과 깊은 연관이 있는 것 같다.

신비한 힘이 넘치는 석판.해당화파크의 폭풍의 방과 깊은 연관이 있는 것 같다.

신비한 힘이 넘치는 석판.해당화파크의 대해의 방과 깊은 연관이 있는 것 같다.

신비한 힘이 넘치는 석판.해당화파크의 대륙의 방과 깊은 연관이 있는 것 같다.

신비한 힘이 넘치는 석판.해당화파크의 천공의 방과 깊은 연관이 있는 것 같다.

신비한 힘이 넘치는 석판.해당화파크의 유전자의 방과 깊은 연관이 있는 것 같다.

신비한 힘이 넘치는 석판.해당화파크의 깨어진 방과 깊은 연관이 있는 것 같다.
기라티나에게 지니게 하면 드래곤과 고스트타입 기술의 위력이 올라가는 반짝반짝 빛나는 구슬.
