Antitoxin
Flameproof
Lithe
Antifreeze
Snow Shelter
Sand Shelter
Sand Screen
Wide Awake
Clearheaded
Unflappable
Escape Artist
Lessen Poison 1
Lessen Poison 2
Lessen Poison 3
Lessen Poison 4
Lessen Poison 5
Lessen Poison 6
Lessen Poison 7
Lessen Poison 8
Lessen Poison 9
Lessen Paralysis 1
Lessen Paralysis 2
Lessen Paralysis 3
Lessen Paralysis 4
Lessen Paralysis 5
Lessen Paralysis 6
Lessen Paralysis 7
Lessen Paralysis 8
Lessen Paralysis 9
Lessen Sleep 1
Lessen Sleep 2
Lessen Sleep 3
Lessen Sleep 4
Lessen Sleep 5
Lessen Sleep 6
Lessen Sleep 7
Lessen Sleep 8
Lessen Sleep 9
Lessen Burn 1
Lessen Burn 2
Lessen Burn 3
Lessen Burn 4
Lessen Burn 5
Lessen Burn 6
Lessen Burn 7
Lessen Burn 8
Lessen Burn 9
Lessen Freeze 1
Lessen Freeze 2
Lessen Freeze 3
Lessen Freeze 4
Lessen Freeze 5
Lessen Freeze 6
Lessen Freeze 7
Lessen Freeze 8
Lessen Freeze 9
Lessen Confusion 1
Lessen Confusion 2
Lessen Confusion 3
Lessen Confusion 4
Lessen Confusion 5
Lessen Confusion 6
Lessen Confusion 7
Lessen Confusion 8
Lessen Confusion 9
Lessen Flinch 1
Lessen Flinch 2
Lessen Flinch 3
Lessen Flinch 4
Lessen Flinch 5
Lessen Flinch 6
Lessen Flinch 7
Lessen Flinch 8
Lessen Flinch 9
Lessen Trap 1
Lessen Trap 2
Lessen Trap 3
Lessen Trap 4
Lessen Trap 5
Lessen Trap 6
Lessen Trap 7
Lessen Trap 8
Lessen Trap 9
Resilience
Stout Heart 1
Stout Heart 2
Stout Heart 3
Stout Heart 4
Stout Heart 5
Stout Heart 6
Stout Heart 7
Stout Heart 8
Stout Heart 9
Trained Body 1
Trained Body 2
Trained Body 3
Trained Body 4
Trained Body 5
Trained Body 6
Trained Body 7
Trained Body 8
Trained Body 9
Steady Resolve 1
Steady Resolve 2
Steady Resolve 3
Steady Resolve 4
Steady Resolve 5
Steady Resolve 6
Steady Resolve 7
Steady Resolve 8
Steady Resolve 9
Trained Mind 1
Trained Mind 2
Trained Mind 3
Trained Mind 4
Trained Mind 5
Trained Mind 6
Trained Mind 7
Trained Mind 8
Trained Mind 9
Sudden Sprint 1
Sudden Sprint 2
Sudden Sprint 3
Sudden Sprint 4
Sudden Sprint 5
Sudden Sprint 6
Sudden Sprint 7
Sudden Sprint 8
Sudden Sprint 9
Mind's Eye 1
Mind's Eye 2
Mind's Eye 3
Mind's Eye 4
Mind's Eye 5
Mind's Eye 6
Mind's Eye 7
Mind's Eye 8
Mind's Eye 9
Nimble Footed 1
Nimble Footed 2
Nimble Footed 3
Nimble Footed 4
Nimble Footed 5
Nimble Footed 6
Nimble Footed 7
Nimble Footed 8
Nimble Footed 9
Enlightenment 1
Enlightenment 2
Enlightenment 3
Enlightenment 4
Enlightenment 5
Enlightenment 6
Enlightenment 7
Enlightenment 8
Enlightenment 9
Clean Slate
Adrenaline 1
Adrenaline 2
Adrenaline 3
Adrenaline 4
Adrenaline 5
Adrenaline 6
Adrenaline 7
Adrenaline 8
Adrenaline 9
Momentum 1
Momentum 2
Momentum 3
Momentum 4
Momentum 5
Momentum 6
Momentum 7
Momentum 8
Momentum 9

Headstrong
Unbending
Dauntless
Stalwart
Haste
Acuity
Fast Runner
Steady Aim
Impervious
Vigilance
Hostile Environment 1
Hostile Environment 2
Hostile Environment 3
Hostile Environment 4
Hostile Environment 5
Hostile Environment 6
Hostile Environment 7
Hostile Environment 8
Hostile Environment 9
Aggravation 1
Aggravation 2
Aggravation 3
Aggravation 4
Aggravation 5
Aggravation 6
Aggravation 7
Aggravation 8
Aggravation 9
On a Roll 1
On a Roll 2
On a Roll 3
On a Roll 4
On a Roll 5
On a Roll 6
On a Roll 7
On a Roll 8
On a Roll 9
Power Reserves 1
Power Reserves 2
Power Reserves 3
Power Reserves 4
Power Reserves 5
Power Reserves 6
Power Reserves 7
Power Reserves 8
Power Reserves 9
Surging Sand 1
Surging Sand 2
Surging Sand 3
Surging Sand 4
Surging Sand 5
Surging Sand 6
Surging Sand 7
Surging Sand 8
Surging Sand 9
Gritty 1
Gritty 2
Gritty 3
Gritty 4
Gritty 5
Gritty 6
Gritty 7
Gritty 8
Gritty 9
Superduper Effective 1
Superduper Effective 2
Superduper Effective 3
Superduper Effective 4
Superduper Effective 5
Superduper Effective 6
Superduper Effective 7
Superduper Effective 8
Superduper Effective 9
Power Flux 1
Power Flux 2
Power Flux 3
Power Flux 4
Power Flux 5
Power Flux 6
Power Flux 7
Power Flux 8
Power Flux 9
Endurance
Piercing Gaze
Sand Fortress
Terrify 1
Terrify 2
Terrify 3
Terrify 4
Terrify 5
Terrify 6
Terrify 7
Terrify 8
Terrify 9
Critical Sting 1
Critical Sting 2
Critical Sting 3
Critical Sting 4
Critical Sting 5
Critical Sting 6
Critical Sting 7
Critical Sting 8
Critical Sting 9
Critical Strike 1
Critical Strike 2
Critical Strike 3
Critical Strike 4
Critical Strike 5
Critical Strike 6
Critical Strike 7
Critical Strike 8
Critical Strike 9
Amped Up 1
Amped Up 2
Amped Up 3
Amped Up 4
Amped Up 5
Amped Up 6
Amped Up 7
Amped Up 8
Amped Up 9
Critical Focus 1
Critical Focus 2
Critical Focus 3
Critical Focus 4
Critical Focus 5
Critical Focus 6
Critical Focus 7
Critical Focus 8
Critical Focus 9
First Aid 1
First Aid 2
First Aid 3
First Aid 4
First Aid 5
First Aid 6
First Aid 7
First Aid 8
First Aid 9
Healing Hail 1
Healing Hail 2
Healing Hail 3
Healing Hail 4
Healing Hail 5
Healing Hail 6
Healing Hail 7
Healing Hail 8
Healing Hail 9
Shifting Sand
Racing Rain 1
Racing Rain 2
Racing Rain 3
Racing Rain 4
Racing Rain 5
Racing Rain 6
Racing Rain 7
Racing Rain 8
Racing Rain 9
Speeding Sun 1
Speeding Sun 2
Speeding Sun 3
Speeding Sun 4
Speeding Sun 5
Speeding Sun 6
Speeding Sun 7
Speeding Sun 8
Speeding Sun 9
Outrun 1
Outrun 2
Outrun 3
Outrun 4
Outrun 5
Outrun 6
Outrun 7
Outrun 8
Outrun 9
On the Ropes 1
On the Ropes 2
On the Ropes 3
On the Ropes 4
On the Ropes 5
On the Ropes 6
On the Ropes 7
On the Ropes 8
On the Ropes 9
Solar Shield
