Plato que gusta a muchos Pokémon de Isla Rodacubo.
Plato que gusta a los Pokémon de color rojo.
Plato que gusta a los Pokémon de color azul.
Plato que gusta a los Pokémon de color amarillo.
Plato que gusta a los Pokémon de color gris.
Plato que gusta a los Pokémon de tipo Agua.
Plato que gusta a los Pokémon de tipo Normal.
Plato que gusta a los Pokémon de tipo Veneno.
Plato que gusta a los Pokémon de tipo Tierra.
Plato que gusta a los Pokémon de tipo Planta.
Plato que gusta a los Pokémon de tipo Bicho.
Plato que gusta a los Pokémon de tipo Psíquico.
Plato que gusta a los Pokémon de tipo Roca.
Plato que gusta a los Pokémon de tipo Volador.
Plato que gusta a los Pokémon de tipo Fuego.
Plato que gusta a los Pokémon de tipo Eléctrico.
Plato que gusta a los Pokémon de tipo Lucha.
Plato que gusta a Pokémon muy raros.
