ATKMSG_M_000=!
ATKMSG_Y_000=!
ATKMSG_E_000=!
ATKMSG_N_000=!
ATKMSG_M_001={0x0101,0x0000} setzt[0x000A]Pfund ein!
ATKMSG_Y_001={0x0101,0x0000} (wild) setzt[0x000A]Pfund ein!
ATKMSG_E_001={0x0101,0x0000} (Gegner) setzt[0x000A]Pfund ein!
ATKMSG_N_001={0x0101,0x0000} (Herrscher) setzt[0x000A]Pfund ein!
ATKMSG_M_002={0x0101,0x0000} setzt[0x000A]Karateschlag ein!
ATKMSG_Y_002={0x0101,0x0000} (wild) setzt[0x000A]Karateschlag ein!
ATKMSG_E_002={0x0101,0x0000} (Gegner) setzt[0x000A]Karateschlag ein!
ATKMSG_N_002={0x0101,0x0000} (Herrscher) setzt[0x000A]Karateschlag ein!
ATKMSG_M_003={0x0101,0x0000} setzt[0x000A]Duplexhieb ein!
ATKMSG_Y_003={0x0101,0x0000} (wild) setzt[0x000A]Duplexhieb ein!
ATKMSG_E_003={0x0101,0x0000} (Gegner) setzt[0x000A]Duplexhieb ein!
ATKMSG_N_003={0x0101,0x0000} (Herrscher) setzt[0x000A]Duplexhieb ein!
ATKMSG_M_004={0x0101,0x0000} setzt[0x000A]Kometenhieb ein!
ATKMSG_Y_004={0x0101,0x0000} (wild) setzt[0x000A]Kometenhieb ein!
ATKMSG_E_004={0x0101,0x0000} (Gegner) setzt[0x000A]Kometenhieb ein!
ATKMSG_N_004={0x0101,0x0000} (Herrscher) setzt[0x000A]Kometenhieb ein!
ATKMSG_M_005={0x0101,0x0000} setzt[0x000A]Megahieb ein!
ATKMSG_Y_005={0x0101,0x0000} (wild) setzt[0x000A]Megahieb ein!
ATKMSG_E_005={0x0101,0x0000} (Gegner) setzt[0x000A]Megahieb ein!
ATKMSG_N_005={0x0101,0x0000} (Herrscher) setzt[0x000A]Megahieb ein!
ATKMSG_M_006={0x0101,0x0000} setzt[0x000A]Zahltag ein!
ATKMSG_Y_006={0x0101,0x0000} (wild) setzt[0x000A]Zahltag ein!
ATKMSG_E_006={0x0101,0x0000} (Gegner) setzt[0x000A]Zahltag ein!
ATKMSG_N_006={0x0101,0x0000} (Herrscher) setzt[0x000A]Zahltag ein!
ATKMSG_M_007={0x0101,0x0000} setzt[0x000A]Feuerschlag ein!
ATKMSG_Y_007={0x0101,0x0000} (wild) setzt[0x000A]Feuerschlag ein!
ATKMSG_E_007={0x0101,0x0000} (Gegner) setzt[0x000A]Feuerschlag ein!
ATKMSG_N_007={0x0101,0x0000} (Herrscher) setzt[0x000A]Feuerschlag ein!
ATKMSG_M_008={0x0101,0x0000} setzt[0x000A]Eishieb ein!
ATKMSG_Y_008={0x0101,0x0000} (wild) setzt[0x000A]Eishieb ein!
ATKMSG_E_008={0x0101,0x0000} (Gegner) setzt[0x000A]Eishieb ein!
ATKMSG_N_008={0x0101,0x0000} (Herrscher) setzt[0x000A]Eishieb ein!
ATKMSG_M_009={0x0101,0x0000} setzt[0x000A]Donnerschlag ein!
ATKMSG_Y_009={0x0101,0x0000} (wild) setzt[0x000A]Donnerschlag ein!
ATKMSG_E_009={0x0101,0x0000} (Gegner) setzt[0x000A]Donnerschlag ein!
ATKMSG_N_009={0x0101,0x0000} (Herrscher) setzt[0x000A]Donnerschlag ein!
ATKMSG_M_010={0x0101,0x0000} setzt[0x000A]Kratzer ein!
ATKMSG_Y_010={0x0101,0x0000} (wild) setzt[0x000A]Kratzer ein!
ATKMSG_E_010={0x0101,0x0000} (Gegner) setzt[0x000A]Kratzer ein!
ATKMSG_N_010={0x0101,0x0000} (Herrscher) setzt[0x000A]Kratzer ein!
ATKMSG_M_011={0x0101,0x0000} setzt[0x000A]Klammer ein!
ATKMSG_Y_011={0x0101,0x0000} (wild) setzt[0x000A]Klammer ein!
ATKMSG_E_011={0x0101,0x0000} (Gegner) setzt[0x000A]Klammer ein!
ATKMSG_N_011={0x0101,0x0000} (Herrscher) setzt[0x000A]Klammer ein!
ATKMSG_M_012={0x0101,0x0000} setzt[0x000A]Guillotine ein!
ATKMSG_Y_012={0x0101,0x0000} (wild) setzt[0x000A]Guillotine ein!
ATKMSG_E_012={0x0101,0x0000} (Gegner) setzt[0x000A]Guillotine ein!
ATKMSG_N_012={0x0101,0x0000} (Herrscher) setzt[0x000A]Guillotine ein!
ATKMSG_M_013={0x0101,0x0000} setzt[0x000A]Klingensturm ein!
ATKMSG_Y_013={0x0101,0x0000} (wild) setzt[0x000A]Klingensturm ein!
ATKMSG_E_013={0x0101,0x0000} (Gegner) setzt[0x000A]Klingensturm ein!
ATKMSG_N_013={0x0101,0x0000} (Herrscher) setzt[0x000A]Klingensturm ein!
ATKMSG_M_014={0x0101,0x0000} setzt[0x000A]Schwerttanz ein!
ATKMSG_Y_014={0x0101,0x0000} (wild) setzt[0x000A]Schwerttanz ein!
ATKMSG_E_014={0x0101,0x0000} (Gegner) setzt[0x000A]Schwerttanz ein!
ATKMSG_N_014={0x0101,0x0000} (Herrscher) setzt[0x000A]Schwerttanz ein!
ATKMSG_M_015={0x0101,0x0000} setzt[0x000A]Zerschneider ein!
ATKMSG_Y_015={0x0101,0x0000} (wild) setzt[0x000A]Zerschneider ein!
ATKMSG_E_015={0x0101,0x0000} (Gegner) setzt[0x000A]Zerschneider ein!
ATKMSG_N_015={0x0101,0x0000} (Herrscher) setzt[0x000A]Zerschneider ein!
ATKMSG_M_016={0x0101,0x0000} setzt[0x000A]Windstoß ein!
ATKMSG_Y_016={0x0101,0x0000} (wild) setzt[0x000A]Windstoß ein!
ATKMSG_E_016={0x0101,0x0000} (Gegner) setzt[0x000A]Windstoß ein!
ATKMSG_N_016={0x0101,0x0000} (Herrscher) setzt[0x000A]Windstoß ein!
ATKMSG_M_017={0x0101,0x0000} setzt[0x000A]Flügelschlag ein!
ATKMSG_Y_017={0x0101,0x0000} (wild) setzt[0x000A]Flügelschlag ein!
ATKMSG_E_017={0x0101,0x0000} (Gegner) setzt[0x000A]Flügelschlag ein!
ATKMSG_N_017={0x0101,0x0000} (Herrscher) setzt[0x000A]Flügelschlag ein!
ATKMSG_M_018={0x0101,0x0000} setzt[0x000A]Wirbelwind ein!
ATKMSG_Y_018={0x0101,0x0000} (wild) setzt[0x000A]Wirbelwind ein!
ATKMSG_E_018={0x0101,0x0000} (Gegner) setzt[0x000A]Wirbelwind ein!
ATKMSG_N_018={0x0101,0x0000} (Herrscher) setzt[0x000A]Wirbelwind ein!
ATKMSG_M_019={0x0101,0x0000} setzt[0x000A]Fliegen ein!
ATKMSG_Y_019={0x0101,0x0000} (wild) setzt[0x000A]Fliegen ein!
ATKMSG_E_019={0x0101,0x0000} (Gegner) setzt[0x000A]Fliegen ein!
ATKMSG_N_019={0x0101,0x0000} (Herrscher) setzt[0x000A]Fliegen ein!
ATKMSG_M_020={0x0101,0x0000} setzt[0x000A]Klammergriff ein!
ATKMSG_Y_020={0x0101,0x0000} (wild) setzt[0x000A]Klammergriff ein!
ATKMSG_E_020={0x0101,0x0000} (Gegner) setzt[0x000A]Klammergriff ein!
ATKMSG_N_020={0x0101,0x0000} (Herrscher) setzt[0x000A]Klammergriff ein!
ATKMSG_M_021={0x0101,0x0000} setzt[0x000A]Slam ein!
ATKMSG_Y_021={0x0101,0x0000} (wild) setzt[0x000A]Slam ein!
ATKMSG_E_021={0x0101,0x0000} (Gegner) setzt[0x000A]Slam ein!
ATKMSG_N_021={0x0101,0x0000} (Herrscher) setzt[0x000A]Slam ein!
ATKMSG_M_022={0x0101,0x0000} setzt[0x000A]Rankenhieb ein!
ATKMSG_Y_022={0x0101,0x0000} (wild) setzt[0x000A]Rankenhieb ein!
ATKMSG_E_022={0x0101,0x0000} (Gegner) setzt[0x000A]Rankenhieb ein!
ATKMSG_N_022={0x0101,0x0000} (Herrscher) setzt[0x000A]Rankenhieb ein!
ATKMSG_M_023={0x0101,0x0000} setzt[0x000A]Stampfer ein!
ATKMSG_Y_023={0x0101,0x0000} (wild) setzt[0x000A]Stampfer ein!
ATKMSG_E_023={0x0101,0x0000} (Gegner) setzt[0x000A]Stampfer ein!
ATKMSG_N_023={0x0101,0x0000} (Herrscher) setzt[0x000A]Stampfer ein!
ATKMSG_M_024={0x0101,0x0000} setzt[0x000A]Doppelkick ein!
ATKMSG_Y_024={0x0101,0x0000} (wild) setzt[0x000A]Doppelkick ein!
ATKMSG_E_024={0x0101,0x0000} (Gegner) setzt[0x000A]Doppelkick ein!
ATKMSG_N_024={0x0101,0x0000} (Herrscher) setzt[0x000A]Doppelkick ein!
ATKMSG_M_025={0x0101,0x0000} setzt[0x000A]Megakick ein!
ATKMSG_Y_025={0x0101,0x0000} (wild) setzt[0x000A]Megakick ein!
ATKMSG_E_025={0x0101,0x0000} (Gegner) setzt[0x000A]Megakick ein!
ATKMSG_N_025={0x0101,0x0000} (Herrscher) setzt[0x000A]Megakick ein!
ATKMSG_M_026={0x0101,0x0000} setzt[0x000A]Sprungkick ein!
ATKMSG_Y_026={0x0101,0x0000} (wild) setzt[0x000A]Sprungkick ein!
ATKMSG_E_026={0x0101,0x0000} (Gegner) setzt[0x000A]Sprungkick ein!
ATKMSG_N_026={0x0101,0x0000} (Herrscher) setzt[0x000A]Sprungkick ein!
ATKMSG_M_027={0x0101,0x0000} setzt[0x000A]Fegekick ein!
ATKMSG_Y_027={0x0101,0x0000} (wild) setzt[0x000A]Fegekick ein!
ATKMSG_E_027={0x0101,0x0000} (Gegner) setzt[0x000A]Fegekick ein!
ATKMSG_N_027={0x0101,0x0000} (Herrscher) setzt[0x000A]Fegekick ein!
ATKMSG_M_028={0x0101,0x0000} setzt[0x000A]Sandwirbel ein!
ATKMSG_Y_028={0x0101,0x0000} (wild) setzt[0x000A]Sandwirbel ein!
ATKMSG_E_028={0x0101,0x0000} (Gegner) setzt[0x000A]Sandwirbel ein!
ATKMSG_N_028={0x0101,0x0000} (Herrscher) setzt[0x000A]Sandwirbel ein!
ATKMSG_M_029={0x0101,0x0000} setzt[0x000A]Kopfnuss ein!
ATKMSG_Y_029={0x0101,0x0000} (wild) setzt[0x000A]Kopfnuss ein!
ATKMSG_E_029={0x0101,0x0000} (Gegner) setzt[0x000A]Kopfnuss ein!
ATKMSG_N_029={0x0101,0x0000} (Herrscher) setzt[0x000A]Kopfnuss ein!
ATKMSG_M_030={0x0101,0x0000} setzt[0x000A]Hornattacke ein!
ATKMSG_Y_030={0x0101,0x0000} (wild) setzt[0x000A]Hornattacke ein!
ATKMSG_E_030={0x0101,0x0000} (Gegner) setzt[0x000A]Hornattacke ein!
ATKMSG_N_030={0x0101,0x0000} (Herrscher) setzt[0x000A]Hornattacke ein!
ATKMSG_M_031={0x0101,0x0000} setzt[0x000A]Furienschlag ein!
ATKMSG_Y_031={0x0101,0x0000} (wild) setzt[0x000A]Furienschlag ein!
ATKMSG_E_031={0x0101,0x0000} (Gegner) setzt[0x000A]Furienschlag ein!
ATKMSG_N_031={0x0101,0x0000} (Herrscher) setzt[0x000A]Furienschlag ein!
ATKMSG_M_032={0x0101,0x0000} setzt[0x000A]Hornbohrer ein!
ATKMSG_Y_032={0x0101,0x0000} (wild) setzt[0x000A]Hornbohrer ein!
ATKMSG_E_032={0x0101,0x0000} (Gegner) setzt[0x000A]Hornbohrer ein!
ATKMSG_N_032={0x0101,0x0000} (Herrscher) setzt[0x000A]Hornbohrer ein!
ATKMSG_M_033={0x0101,0x0000} setzt[0x000A]Tackle ein!
ATKMSG_Y_033={0x0101,0x0000} (wild) setzt[0x000A]Tackle ein!
ATKMSG_E_033={0x0101,0x0000} (Gegner) setzt[0x000A]Tackle ein!
ATKMSG_N_033={0x0101,0x0000} (Herrscher) setzt[0x000A]Tackle ein!
ATKMSG_M_034={0x0101,0x0000} setzt[0x000A]Bodyslam ein!
ATKMSG_Y_034={0x0101,0x0000} (wild) setzt[0x000A]Bodyslam ein!
ATKMSG_E_034={0x0101,0x0000} (Gegner) setzt[0x000A]Bodyslam ein!
ATKMSG_N_034={0x0101,0x0000} (Herrscher) setzt[0x000A]Bodyslam ein!
ATKMSG_M_035={0x0101,0x0000} setzt[0x000A]Wickel ein!
ATKMSG_Y_035={0x0101,0x0000} (wild) setzt[0x000A]Wickel ein!
ATKMSG_E_035={0x0101,0x0000} (Gegner) setzt[0x000A]Wickel ein!
ATKMSG_N_035={0x0101,0x0000} (Herrscher) setzt[0x000A]Wickel ein!
ATKMSG_M_036={0x0101,0x0000} setzt[0x000A]Bodycheck ein!
ATKMSG_Y_036={0x0101,0x0000} (wild) setzt[0x000A]Bodycheck ein!
ATKMSG_E_036={0x0101,0x0000} (Gegner) setzt[0x000A]Bodycheck ein!
ATKMSG_N_036={0x0101,0x0000} (Herrscher) setzt[0x000A]Bodycheck ein!
ATKMSG_M_037={0x0101,0x0000} setzt[0x000A]Fuchtler ein!
ATKMSG_Y_037={0x0101,0x0000} (wild) setzt[0x000A]Fuchtler ein!
ATKMSG_E_037={0x0101,0x0000} (Gegner) setzt[0x000A]Fuchtler ein!
ATKMSG_N_037={0x0101,0x0000} (Herrscher) setzt[0x000A]Fuchtler ein!
ATKMSG_M_038={0x0101,0x0000} setzt[0x000A]Risikotackle ein!
ATKMSG_Y_038={0x0101,0x0000} (wild) setzt[0x000A]Risikotackle ein!
ATKMSG_E_038={0x0101,0x0000} (Gegner) setzt[0x000A]Risikotackle ein!
ATKMSG_N_038={0x0101,0x0000} (Herrscher) setzt[0x000A]Risikotackle ein!
ATKMSG_M_039={0x0101,0x0000} setzt[0x000A]Rutenschlag ein!
ATKMSG_Y_039={0x0101,0x0000} (wild) setzt[0x000A]Rutenschlag ein!
ATKMSG_E_039={0x0101,0x0000} (Gegner) setzt[0x000A]Rutenschlag ein!
ATKMSG_N_039={0x0101,0x0000} (Herrscher) setzt[0x000A]Rutenschlag ein!
ATKMSG_M_040={0x0101,0x0000} setzt[0x000A]Giftstachel ein!
ATKMSG_Y_040={0x0101,0x0000} (wild) setzt[0x000A]Giftstachel ein!
ATKMSG_E_040={0x0101,0x0000} (Gegner) setzt[0x000A]Giftstachel ein!
ATKMSG_N_040={0x0101,0x0000} (Herrscher) setzt[0x000A]Giftstachel ein!
ATKMSG_M_041={0x0101,0x0000} setzt[0x000A]Duonadel ein!
ATKMSG_Y_041={0x0101,0x0000} (wild) setzt[0x000A]Duonadel ein!
ATKMSG_E_041={0x0101,0x0000} (Gegner) setzt[0x000A]Duonadel ein!
ATKMSG_N_041={0x0101,0x0000} (Herrscher) setzt[0x000A]Duonadel ein!
ATKMSG_M_042={0x0101,0x0000} setzt[0x000A]Nadelrakete ein!
ATKMSG_Y_042={0x0101,0x0000} (wild) setzt[0x000A]Nadelrakete ein!
ATKMSG_E_042={0x0101,0x0000} (Gegner) setzt[0x000A]Nadelrakete ein!
ATKMSG_N_042={0x0101,0x0000} (Herrscher) setzt[0x000A]Nadelrakete ein!
ATKMSG_M_043={0x0101,0x0000} setzt[0x000A]Silberblick ein!
ATKMSG_Y_043={0x0101,0x0000} (wild) setzt[0x000A]Silberblick ein!
ATKMSG_E_043={0x0101,0x0000} (Gegner) setzt[0x000A]Silberblick ein!
ATKMSG_N_043={0x0101,0x0000} (Herrscher) setzt[0x000A]Silberblick ein!
ATKMSG_M_044={0x0101,0x0000} setzt[0x000A]Biss ein!
ATKMSG_Y_044={0x0101,0x0000} (wild) setzt[0x000A]Biss ein!
ATKMSG_E_044={0x0101,0x0000} (Gegner) setzt[0x000A]Biss ein!
ATKMSG_N_044={0x0101,0x0000} (Herrscher) setzt[0x000A]Biss ein!
ATKMSG_M_045={0x0101,0x0000} setzt[0x000A]Heuler ein!
ATKMSG_Y_045={0x0101,0x0000} (wild) setzt[0x000A]Heuler ein!
ATKMSG_E_045={0x0101,0x0000} (Gegner) setzt[0x000A]Heuler ein!
ATKMSG_N_045={0x0101,0x0000} (Herrscher) setzt[0x000A]Heuler ein!
ATKMSG_M_046={0x0101,0x0000} setzt[0x000A]Brüller ein!
ATKMSG_Y_046={0x0101,0x0000} (wild) setzt[0x000A]Brüller ein!
ATKMSG_E_046={0x0101,0x0000} (Gegner) setzt[0x000A]Brüller ein!
ATKMSG_N_046={0x0101,0x0000} (Herrscher) setzt[0x000A]Brüller ein!
ATKMSG_M_047={0x0101,0x0000} setzt[0x000A]Gesang ein!
ATKMSG_Y_047={0x0101,0x0000} (wild) setzt[0x000A]Gesang ein!
ATKMSG_E_047={0x0101,0x0000} (Gegner) setzt[0x000A]Gesang ein!
ATKMSG_N_047={0x0101,0x0000} (Herrscher) setzt[0x000A]Gesang ein!
ATKMSG_M_048={0x0101,0x0000} setzt[0x000A]Superschall ein!
ATKMSG_Y_048={0x0101,0x0000} (wild) setzt[0x000A]Superschall ein!
ATKMSG_E_048={0x0101,0x0000} (Gegner) setzt[0x000A]Superschall ein!
ATKMSG_N_048={0x0101,0x0000} (Herrscher) setzt[0x000A]Superschall ein!
ATKMSG_M_049={0x0101,0x0000} setzt[0x000A]Ultraschall ein!
ATKMSG_Y_049={0x0101,0x0000} (wild) setzt[0x000A]Ultraschall ein!
ATKMSG_E_049={0x0101,0x0000} (Gegner) setzt[0x000A]Ultraschall ein!
ATKMSG_N_049={0x0101,0x0000} (Herrscher) setzt[0x000A]Ultraschall ein!
ATKMSG_M_050={0x0101,0x0000} setzt[0x000A]Aussetzer ein!
ATKMSG_Y_050={0x0101,0x0000} (wild) setzt[0x000A]Aussetzer ein!
ATKMSG_E_050={0x0101,0x0000} (Gegner) setzt[0x000A]Aussetzer ein!
ATKMSG_N_050={0x0101,0x0000} (Herrscher) setzt[0x000A]Aussetzer ein!
ATKMSG_M_051={0x0101,0x0000} setzt[0x000A]Säure ein!
ATKMSG_Y_051={0x0101,0x0000} (wild) setzt[0x000A]Säure ein!
ATKMSG_E_051={0x0101,0x0000} (Gegner) setzt[0x000A]Säure ein!
ATKMSG_N_051={0x0101,0x0000} (Herrscher) setzt[0x000A]Säure ein!
ATKMSG_M_052={0x0101,0x0000} setzt[0x000A]Glut ein!
ATKMSG_Y_052={0x0101,0x0000} (wild) setzt[0x000A]Glut ein!
ATKMSG_E_052={0x0101,0x0000} (Gegner) setzt[0x000A]Glut ein!
ATKMSG_N_052={0x0101,0x0000} (Herrscher) setzt[0x000A]Glut ein!
ATKMSG_M_053={0x0101,0x0000} setzt[0x000A]Flammenwurf ein!
ATKMSG_Y_053={0x0101,0x0000} (wild) setzt[0x000A]Flammenwurf ein!
ATKMSG_E_053={0x0101,0x0000} (Gegner) setzt[0x000A]Flammenwurf ein!
ATKMSG_N_053={0x0101,0x0000} (Herrscher) setzt[0x000A]Flammenwurf ein!
ATKMSG_M_054={0x0101,0x0000} setzt[0x000A]Weißnebel ein!
ATKMSG_Y_054={0x0101,0x0000} (wild) setzt[0x000A]Weißnebel ein!
ATKMSG_E_054={0x0101,0x0000} (Gegner) setzt[0x000A]Weißnebel ein!
ATKMSG_N_054={0x0101,0x0000} (Herrscher) setzt[0x000A]Weißnebel ein!
ATKMSG_M_055={0x0101,0x0000} setzt[0x000A]Aquaknarre ein!
ATKMSG_Y_055={0x0101,0x0000} (wild) setzt[0x000A]Aquaknarre ein!
ATKMSG_E_055={0x0101,0x0000} (Gegner) setzt[0x000A]Aquaknarre ein!
ATKMSG_N_055={0x0101,0x0000} (Herrscher) setzt[0x000A]Aquaknarre ein!
ATKMSG_M_056={0x0101,0x0000} setzt[0x000A]Hydropumpe ein!
ATKMSG_Y_056={0x0101,0x0000} (wild) setzt[0x000A]Hydropumpe ein!
ATKMSG_E_056={0x0101,0x0000} (Gegner) setzt[0x000A]Hydropumpe ein!
ATKMSG_N_056={0x0101,0x0000} (Herrscher) setzt[0x000A]Hydropumpe ein!
ATKMSG_M_057={0x0101,0x0000} setzt[0x000A]Surfer ein!
ATKMSG_Y_057={0x0101,0x0000} (wild) setzt[0x000A]Surfer ein!
ATKMSG_E_057={0x0101,0x0000} (Gegner) setzt[0x000A]Surfer ein!
ATKMSG_N_057={0x0101,0x0000} (Herrscher) setzt[0x000A]Surfer ein!
ATKMSG_M_058={0x0101,0x0000} setzt[0x000A]Eisstrahl ein!
ATKMSG_Y_058={0x0101,0x0000} (wild) setzt[0x000A]Eisstrahl ein!
ATKMSG_E_058={0x0101,0x0000} (Gegner) setzt[0x000A]Eisstrahl ein!
ATKMSG_N_058={0x0101,0x0000} (Herrscher) setzt[0x000A]Eisstrahl ein!
ATKMSG_M_059={0x0101,0x0000} setzt[0x000A]Blizzard ein!
ATKMSG_Y_059={0x0101,0x0000} (wild) setzt[0x000A]Blizzard ein!
ATKMSG_E_059={0x0101,0x0000} (Gegner) setzt[0x000A]Blizzard ein!
ATKMSG_N_059={0x0101,0x0000} (Herrscher) setzt[0x000A]Blizzard ein!
ATKMSG_M_060={0x0101,0x0000} setzt[0x000A]Psystrahl ein!
ATKMSG_Y_060={0x0101,0x0000} (wild) setzt[0x000A]Psystrahl ein!
ATKMSG_E_060={0x0101,0x0000} (Gegner) setzt[0x000A]Psystrahl ein!
ATKMSG_N_060={0x0101,0x0000} (Herrscher) setzt[0x000A]Psystrahl ein!
ATKMSG_M_061={0x0101,0x0000} setzt[0x000A]Blubbstrahl ein!
ATKMSG_Y_061={0x0101,0x0000} (wild) setzt[0x000A]Blubbstrahl ein!
ATKMSG_E_061={0x0101,0x0000} (Gegner) setzt[0x000A]Blubbstrahl ein!
ATKMSG_N_061={0x0101,0x0000} (Herrscher) setzt[0x000A]Blubbstrahl ein!
ATKMSG_M_062={0x0101,0x0000} setzt[0x000A]Aurorastrahl ein!
ATKMSG_Y_062={0x0101,0x0000} (wild) setzt[0x000A]Aurorastrahl ein!
ATKMSG_E_062={0x0101,0x0000} (Gegner) setzt[0x000A]Aurorastrahl ein!
ATKMSG_N_062={0x0101,0x0000} (Herrscher) setzt[0x000A]Aurorastrahl ein!
ATKMSG_M_063={0x0101,0x0000} setzt[0x000A]Hyperstrahl ein!
ATKMSG_Y_063={0x0101,0x0000} (wild) setzt[0x000A]Hyperstrahl ein!
ATKMSG_E_063={0x0101,0x0000} (Gegner) setzt[0x000A]Hyperstrahl ein!
ATKMSG_N_063={0x0101,0x0000} (Herrscher) setzt[0x000A]Hyperstrahl ein!
ATKMSG_M_064={0x0101,0x0000} setzt[0x000A]Schnabel ein!
ATKMSG_Y_064={0x0101,0x0000} (wild) setzt[0x000A]Schnabel ein!
ATKMSG_E_064={0x0101,0x0000} (Gegner) setzt[0x000A]Schnabel ein!
ATKMSG_N_064={0x0101,0x0000} (Herrscher) setzt[0x000A]Schnabel ein!
ATKMSG_M_065={0x0101,0x0000} setzt[0x000A]Bohrschnabel ein!
ATKMSG_Y_065={0x0101,0x0000} (wild) setzt[0x000A]Bohrschnabel ein!
ATKMSG_E_065={0x0101,0x0000} (Gegner) setzt[0x000A]Bohrschnabel ein!
ATKMSG_N_065={0x0101,0x0000} (Herrscher) setzt[0x000A]Bohrschnabel ein!
ATKMSG_M_066={0x0101,0x0000} setzt[0x000A]Überroller ein!
ATKMSG_Y_066={0x0101,0x0000} (wild) setzt[0x000A]Überroller ein!
ATKMSG_E_066={0x0101,0x0000} (Gegner) setzt[0x000A]Überroller ein!
ATKMSG_N_066={0x0101,0x0000} (Herrscher) setzt[0x000A]Überroller ein!
ATKMSG_M_067={0x0101,0x0000} setzt[0x000A]Fußkick ein!
ATKMSG_Y_067={0x0101,0x0000} (wild) setzt[0x000A]Fußkick ein!
ATKMSG_E_067={0x0101,0x0000} (Gegner) setzt[0x000A]Fußkick ein!
ATKMSG_N_067={0x0101,0x0000} (Herrscher) setzt[0x000A]Fußkick ein!
ATKMSG_M_068={0x0101,0x0000} setzt[0x000A]Konter ein!
