ATKMSG_Z_M_000=!
ATKMSG_Z_Y_000=!
ATKMSG_Z_E_000=!
ATKMSG_Z_N_000=!
ATKMSG_Z_M_001={0x0101,0x0000} setzt[0x000A]Z-Pfund ein!
ATKMSG_Z_Y_001={0x0101,0x0000} (wild) setzt[0x000A]Z-Pfund ein!
ATKMSG_Z_E_001={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Pfund ein!
ATKMSG_Z_N_001={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Pfund ein!
ATKMSG_Z_M_002={0x0101,0x0000} setzt[0x000A]Z-Karateschlag ein!
ATKMSG_Z_Y_002={0x0101,0x0000} (wild) setzt[0x000A]Z-Karateschlag ein!
ATKMSG_Z_E_002={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Karateschlag ein!
ATKMSG_Z_N_002={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Karateschlag ein!
ATKMSG_Z_M_003={0x0101,0x0000} setzt[0x000A]Z-Duplexhieb ein!
ATKMSG_Z_Y_003={0x0101,0x0000} (wild) setzt[0x000A]Z-Duplexhieb ein!
ATKMSG_Z_E_003={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Duplexhieb ein!
ATKMSG_Z_N_003={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Duplexhieb ein!
ATKMSG_Z_M_004={0x0101,0x0000} setzt[0x000A]Z-Kometenhieb ein!
ATKMSG_Z_Y_004={0x0101,0x0000} (wild) setzt[0x000A]Z-Kometenhieb ein!
ATKMSG_Z_E_004={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kometenhieb ein!
ATKMSG_Z_N_004={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kometenhieb ein!
ATKMSG_Z_M_005={0x0101,0x0000} setzt[0x000A]Z-Megahieb ein!
ATKMSG_Z_Y_005={0x0101,0x0000} (wild) setzt[0x000A]Z-Megahieb ein!
ATKMSG_Z_E_005={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Megahieb ein!
ATKMSG_Z_N_005={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Megahieb ein!
ATKMSG_Z_M_006={0x0101,0x0000} setzt[0x000A]Z-Zahltag ein!
ATKMSG_Z_Y_006={0x0101,0x0000} (wild) setzt[0x000A]Z-Zahltag ein!
ATKMSG_Z_E_006={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zahltag ein!
