MAPNAME_NOTHING=——————
MAPNAME_NAZONOBASYO=Mystery Zone
MAPNAME_TOOIBASYO=Faraway place
PLACENAME_ROAD001=Route 1
PLACENAME_ROAD002=Route 2
PLACENAME_ROAD003=Route 3
PLACENAME_ROAD004=Route 4
PLACENAME_ROAD005=Route 5
PLACENAME_ROAD006=Route 6
PLACENAME_ROAD007=Route 7
PLACENAME_ROAD008=Route 8
PLACENAME_ROAD009=Route 9
PLACENAME_ROAD010=Route 10
PLACENAME_ROAD011=Route 11
PLACENAME_ROAD012=Route 12
PLACENAME_ROAD013=Route 13
PLACENAME_ROAD014=Route 14
PLACENAME_ROAD015=Route 15
PLACENAME_ROAD016=Route 16
PLACENAME_ROAD017=Route 17
PLACENAME_ROAD018=Route 18
PLACENAME_ROAD019=Route 19
PLACENAME_ROAD020=Route 20
PLACENAME_ROAD021=Route 21
PLACENAME_ROAD022=Route 22
PLACENAME_ROAD023=Route 23
PLACENAME_ROAD024=Route 24
PLACENAME_ROAD025=Route 25
PLACENAME_TOWN001=Pallet Town
PLACENAME_TOWN002=Viridian City
PLACENAME_TOWN003=Pewter City
PLACENAME_TOWN004=Cerulean City
PLACENAME_TOWN005=Lavender Town
PLACENAME_TOWN006=Vermilion City
PLACENAME_TOWN007=Celadon City
PLACENAME_TOWN008=Fuchsia City
PLACENAME_TOWN009=Cinnabar Island
PLACENAME_TOWN010=Indigo Plateau
PLACENAME_TOWN011=Saffron City
PLACENAME_R002_DUN01=Viridian Forest
PLACENAME_R004_DUN01=Mt. Moon
PLACENAME_R010_DUN01=Rock Tunnel
PLACENAME_R010_DUN02=Power Plant
PLACENAME_R011_DUN01=Diglett’s Cave
PLACENAME_R020_DUN01=Seafoam Islands
PLACENAME_R023_DUN01=Victory Road
PLACENAME_T004_DUN01=Cerulean Cave
PLACENAME_T005_DUN01=Pokémon Tower
PLACENAME_T006_DUN01=S.S. Anne
PLACENAME_T007_DUN01=Team Rocket Hideout
PLACENAME_T008_DUN01=GO Park complex
PLACENAME_T009_DUN01=Pokémon Mansion
PLACENAME_T011_DUN01=Silph Co.
PLACENAME_CHAMP01=Pokémon League
