ATKMSG_M_000=(!)
ATKMSG_Y_000=(!)
ATKMSG_E_000=(!)
ATKMSG_N_000=(!)
ATKMSG_M_001=¡{0x0101,0x0000} ha usado Destructor!
ATKMSG_Y_001=¡El {0x0101,0x0000} salvaje ha usado Destructor!
ATKMSG_E_001=¡El {0x0101,0x0000} enemigo ha usado Destructor!
ATKMSG_N_001=¡El {0x0101,0x0000} dominante ha usado Destructor!
ATKMSG_M_002=¡{0x0101,0x0000} ha usado Golpe Kárate!
ATKMSG_Y_002=¡El {0x0101,0x0000} salvaje ha usado Golpe Kárate!
ATKMSG_E_002=¡El {0x0101,0x0000} enemigo ha usado Golpe Kárate!
ATKMSG_N_002=¡El {0x0101,0x0000} dominante ha usado Golpe Kárate!
ATKMSG_M_003=¡{0x0101,0x0000} ha usado Doble Bofetón!
ATKMSG_Y_003=¡El {0x0101,0x0000} salvaje ha usado Doble Bofetón!
ATKMSG_E_003=¡El {0x0101,0x0000} enemigo ha usado Doble Bofetón!
ATKMSG_N_003=¡El {0x0101,0x0000} dominante ha usado Doble Bofetón!
ATKMSG_M_004=¡{0x0101,0x0000} ha usado Puño Cometa!
ATKMSG_Y_004=¡El {0x0101,0x0000} salvaje ha usado Puño Cometa!
ATKMSG_E_004=¡El {0x0101,0x0000} enemigo ha usado Puño Cometa!
ATKMSG_N_004=¡El {0x0101,0x0000} dominante ha usado Puño Cometa!
ATKMSG_M_005=¡{0x0101,0x0000} ha usado Megapuño!
ATKMSG_Y_005=¡El {0x0101,0x0000} salvaje ha usado Megapuño!
ATKMSG_E_005=¡El {0x0101,0x0000} enemigo ha usado Megapuño!
ATKMSG_N_005=¡El {0x0101,0x0000} dominante ha usado Megapuño!
ATKMSG_M_006=¡{0x0101,0x0000} ha usado Día de Pago!
ATKMSG_Y_006=¡El {0x0101,0x0000} salvaje ha usado Día de Pago!
ATKMSG_E_006=¡El {0x0101,0x0000} enemigo ha usado Día de Pago!
ATKMSG_N_006=¡El {0x0101,0x0000} dominante ha usado Día de Pago!
ATKMSG_M_007=¡{0x0101,0x0000} ha usado Puño Fuego!
ATKMSG_Y_007=¡El {0x0101,0x0000} salvaje ha usado Puño Fuego!
ATKMSG_E_007=¡El {0x0101,0x0000} enemigo ha usado Puño Fuego!
ATKMSG_N_007=¡El {0x0101,0x0000} dominante ha usado Puño Fuego!
ATKMSG_M_008=¡{0x0101,0x0000} ha usado Puño Hielo!
ATKMSG_Y_008=¡El {0x0101,0x0000} salvaje ha usado Puño Hielo!
ATKMSG_E_008=¡El {0x0101,0x0000} enemigo ha usado Puño Hielo!
ATKMSG_N_008=¡El {0x0101,0x0000} dominante ha usado Puño Hielo!
ATKMSG_M_009=¡{0x0101,0x0000} ha usado Puño Trueno!
ATKMSG_Y_009=¡El {0x0101,0x0000} salvaje ha usado Puño Trueno!
ATKMSG_E_009=¡El {0x0101,0x0000} enemigo ha usado Puño Trueno!
ATKMSG_N_009=¡El {0x0101,0x0000} dominante ha usado Puño Trueno!
ATKMSG_M_010=¡{0x0101,0x0000} ha usado Arañazo!
ATKMSG_Y_010=¡El {0x0101,0x0000} salvaje ha usado Arañazo!
ATKMSG_E_010=¡El {0x0101,0x0000} enemigo ha usado Arañazo!
ATKMSG_N_010=¡El {0x0101,0x0000} dominante ha usado Arañazo!
ATKMSG_M_011=¡{0x0101,0x0000} ha usado Agarre!
