MAPNAME_NOTHING=－
MAPNAME_NAZONOBASYO=Lugar misterioso
MAPNAME_TOOIBASYO=Lugar lejano
PLACENAME_ROAD001=Ruta 1
PLACENAME_ROAD002=Ruta 2
PLACENAME_ROAD003=Ruta 3
PLACENAME_ROAD004=Ruta 4
PLACENAME_ROAD005=Ruta 5
PLACENAME_ROAD006=Ruta 6
PLACENAME_ROAD007=Ruta 7
PLACENAME_ROAD008=Ruta 8
PLACENAME_ROAD009=Ruta 9
PLACENAME_ROAD010=Ruta 10
PLACENAME_ROAD011=Ruta 11
PLACENAME_ROAD012=Ruta 12
PLACENAME_ROAD013=Ruta 13
PLACENAME_ROAD014=Ruta 14
PLACENAME_ROAD015=Ruta 15
PLACENAME_ROAD016=Ruta 16
PLACENAME_ROAD017=Ruta 17
PLACENAME_ROAD018=Ruta 18
PLACENAME_ROAD019=Ruta 19
PLACENAME_ROAD020=Ruta 20
PLACENAME_ROAD021=Ruta 21
PLACENAME_ROAD022=Ruta 22
PLACENAME_ROAD023=Ruta 23
PLACENAME_ROAD024=Ruta 24
PLACENAME_ROAD025=Ruta 25
PLACENAME_TOWN001=Pueblo Paleta
PLACENAME_TOWN002=Ciudad Verde
PLACENAME_TOWN003=Ciudad Plateada
PLACENAME_TOWN004=Ciudad Celeste
PLACENAME_TOWN005=Pueblo Lavanda
PLACENAME_TOWN006=Ciudad Carmín
PLACENAME_TOWN007=Ciudad Azulona
PLACENAME_TOWN008=Ciudad Fucsia
PLACENAME_TOWN009=Isla Canela
PLACENAME_TOWN010=Meseta Añil
PLACENAME_TOWN011=Ciudad Azafrán
PLACENAME_R002_DUN01=Bosque Verde
PLACENAME_R004_DUN01=Monte Moon
PLACENAME_R010_DUN01=Túnel Roca
PLACENAME_R010_DUN02=Central de Energía
PLACENAME_R011_DUN01=Cueva Diglett
PLACENAME_R020_DUN01=Islas Espuma
PLACENAME_R023_DUN01=Calle Victoria
PLACENAME_T004_DUN01=Cueva Celeste
PLACENAME_T005_DUN01=Torre Pokémon
PLACENAME_T006_DUN01=S. S. Anne
PLACENAME_T007_DUN01=Guarida Rocket
PLACENAME_T008_DUN01=GO Park
PLACENAME_T009_DUN01=Mansión Pokémon
PLACENAME_T011_DUN01=Silph S. A.
PLACENAME_CHAMP01=Liga Pokémon
