msg_partner_001={0x0102,0x0001}戳了戳你！[0x000A]要戳回去吗？
msg_partner_002={0x0102,0x0001}黏在了你的脚边。
msg_partner_003={0x0102,0x0001}突然生气了！
msg_partner_004={0x0102,0x0001}看起来[0x000A]有点萎靡不振……
msg_partner_005={0x0102,0x0001}感觉很冷，[0x000A]向你身上靠了过来！
msg_partner_006={0x0102,0x0001}非常高兴！
msg_partner_007={0x0102,0x0001}将身子紧紧地[0x000A]贴在了你的身上！{0xBE00}[0x000A]要陪陪它吗？
msg_partner_008={0x0102,0x0001}对周围的事物[0x000A]非常感兴趣！
msg_partner_009={0x0102,0x0001}看着你，[0x000A]好像想让你陪它玩……{0xBE00}[0x000A]要陪它玩一会吗？
msg_partner_010={0x0102,0x0001}突然推了你！[0x000A]要教育一下它吗？
msg_partner_011={0x0102,0x0001}看起来[0x000A]迷迷糊糊的……{0xBE00}[0x000A]要叫下它的名字看看吗？
msg_partner_012={0x0102,0x0001}突然向你[0x000A]紧靠了过来！{0xBE00}[0x000A]要稍微陪陪它吗？
msg_partner_013={0x0102,0x0001}一直在看着你……[0x000A]要不要叫一下它的名字看看？
msg_partner_014={0x0102,0x0001}突然碰了碰你！[0x000A]要稍微陪陪它吗？
msg_partner_015={0x0102,0x0001}正在不安地[0x000A]四下张望。{0xBE00}[0x000A]要喊喊它吗？
msg_partner_016={0x0102,0x0001}正在发呆……[0x000A]要喊喊它吗？
msg_partner_017={0x0102,0x0001}突然[0x000A]靠到了你的脚边！
msg_partner_018={0x0102,0x0001}的叶子[0x000A]耷拉了下来。
msg_partner_019={0x0102,0x0001}高兴地跟了上来！
msg_partner_020={0x0102,0x0001}好像想和你玩！
msg_partner_021={0x0102,0x0001}一脸撒娇地看着你！
msg_partner_022={0x0102,0x0001}努力地[0x000A]在后面跟着你！
msg_partner_023={0x0102,0x0001}欢欣雀跃了起来！
msg_partner_024={0x0102,0x0001}开心地靠了过来！
msg_partner_025={0x0102,0x0001}看起来很开心！
msg_partner_026={0x0102,0x0001}欢快地[0x000A]跟在你的后面！
msg_partner_027={0x0102,0x0001}在原地[0x000A]转起了圈来！
msg_partner_028={0x0102,0x0001}一直在看着你。
msg_partner_029={0x0102,0x0001}转了过来[0x000A]并冲着你笑了笑！
msg_partner_030={0x0102,0x0001}开心地跳了起来！
msg_partner_031={0x0102,0x0001}开心极了！
msg_partner_032={0x0102,0x0001}轻快地跳了起来！
msg_partner_033={0x0102,0x0001}精神十足地[0x000A]动了起来！
msg_partner_034={0x0102,0x0001}直勾勾地盯着你看！
msg_partner_035={0x0102,0x0001}把头扭了过去……
msg_partner_036={0x0102,0x0001}冲着对方[0x000A]重重地吼了起来！
msg_partner_037={0x0102,0x0001}戳了戳你的脚。
msg_partner_038={0x0102,0x0001}猛地发出了火焰！
msg_partner_039={0x0102,0x0001}突然生起了气来！
msg_partner_040={0x0102,0x0001}正在戳着地面玩。
msg_partner_041={0x0102,0x0001}看起来兴高采烈的！
msg_partner_042={0x0102,0x0001}目不转睛地看着大海。
msg_partner_043={0x0102,0x0001}开心地看着大海！
msg_partner_044={0x0102,0x0001}目不转睛地[0x000A]看着里面……
msg_partner_045={0x0102,0x0001}挠了挠你的肚子！
msg_partner_046={0x0102,0x0001}的身体[0x000A]好像被刺了一下！
msg_partner_047={0x0102,0x0001}正在听[0x000A]机器发出的声音。
msg_partner_048={0x0102,0x0001}在四处张望。
msg_partner_049={0x0102,0x0001}一直在看着树。
msg_partner_050={0x0102,0x0001}紧张得[0x000A]身体都僵硬起来了。
msg_partner_051={0x0102,0x0001}正在戳着草玩。
msg_partner_052={0x0102,0x0001}把嘴巴张得大大的。
msg_partner_053={0x0102,0x0001}的牙齿在打颤！
msg_partner_054={0x0102,0x0001}努力地在后面跟着……
msg_partner_055={0x0102,0x0001}正在闻着[0x000A]大海的味道。
msg_partner_056={0x0102,0x0001}精神十足！
msg_partner_057={0x0102,0x0001}精神十足地[0x000A]跳了起来！
msg_partner_058={0x0102,0x0001}看着你笑了笑。
msg_partner_059={0x0102,0x0001}无所事事。
msg_partner_060={0x0102,0x0001}感到很害怕，[0x000A]向你这边靠了过来！
msg_partner_061={0x0102,0x0001}身体冷冷的，[0x000A]看起来很高兴！
msg_partner_062={0x0102,0x0001}身体冷冷的，[0x000A]一脸不开心的样子……
msg_partner_063={0x0102,0x0001}身体冷冷的，[0x000A]很开心的样子……
msg_partner_064={0x0102,0x0001}身体冷冷的，[0x000A]稍稍蜷缩了起来……
msg_partner_065={0x0102,0x0001}吹着海风，[0x000A]一脸享受的样子！
msg_partner_066={0x0102,0x0001}的尾巴[0x000A]突然燃起了火焰！
msg_partner_067={0x0102,0x0001}好像对[0x000A]自行车很感兴趣！
msg_partner_068={0x0102,0x0001}努力地[0x000A]闻着地面上的味道。
msg_partner_069={0x0102,0x0001}一个劲地[0x000A]戳着地面。
msg_partner_070={0x0102,0x0001}好像有点累了。
msg_partner_071={0x0102,0x0001}对外面很感兴趣！
msg_partner_072={0x0102,0x0001}有点害怕！
msg_partner_073={0x0102,0x0001}目不转睛地[0x000A]看着别人钓鱼。
msg_partner_074={0x0102,0x0001}拉紧了藤蔓！
msg_partner_075={0x0102,0x0001}晃动着藤蔓！
msg_partner_076={0x0102,0x0001}目不转睛地[0x000A]看着展品。
msg_partner_077={0x0102,0x0001}看起来非常冷！
msg_partner_078={0x0102,0x0001}好像非常开心！
msg_partner_079={0x0102,0x0001}目不转睛地[0x000A]看着川流不息的大海……
msg_partner_080={0x0102,0x0001}被什么声音[0x000A]吓了一跳！
msg_partner_081={0x0102,0x0001}被感应到的[0x000A]某种气息吓到了！
msg_partner_082={0x0102,0x0001}好像发现了什么！
msg_partner_083={0x0102,0x0001}一直在听着波浪声。
msg_partner_084={0x0102,0x0001}很开心地看着波浪！
msg_partner_085={0x0102,0x0001}好像听到了[0x000A]奇怪的声音。
msg_partner_086={0x0102,0x0001}看起来很生气！
msg_partner_087={0x0102,0x0001}看起来很冷……
msg_partner_088={0x0102,0x0001}看起来很高兴！
msg_partner_089={0x0102,0x0001}看起来非常开心！
msg_partner_090={0x0102,0x0001}笑着看了看你。
msg_partner_091={0x0102,0x0001}悠哉悠哉的。
msg_partner_092={0x0102,0x0001}一蹦一蹦地[0x000A]跳了起来！
msg_partner_093={0x0102,0x0001}不安地戳了戳你。
msg_partner_094={0x0102,0x0001}随船一起[0x000A]摇晃了起来！
msg_partner_095={0x0102,0x0001}摇摇晃晃的！
msg_partner_096={0x0102,0x0001}瑟瑟发抖……
msg_partner_097={0x0102,0x0001}直勾勾地盯着[0x000A]宝可梦联盟看。
msg_partner_098={0x0102,0x0001}突然发出了火焰！
msg_partner_099={0x0102,0x0001}发出火焰，[0x000A]鼓足了干劲！
msg_partner_100={0x0102,0x0001}一直看着[0x000A]破破烂烂的地板。
msg_partner_101={0x0102,0x0001}很高兴能坐船！
msg_partner_102={0x0102,0x0001}仍然精神十足！
msg_partner_103={0x0102,0x0001}好像[0x000A]还不想从船上下去。
msg_partner_104={0x0102,0x0001}正看着周围发呆。
msg_partner_105={0x0102,0x0001}哗地一声[0x000A]放出了水！
msg_partner_106={0x0102,0x0001}闭上眼睛[0x000A]安静了下来……
msg_partner_107={0x0102,0x0001}抬头四处张望着[0x000A]周围的森林。
msg_partner_108={0x0102,0x0001}被烧伤了，[0x000A]好像很疼！
msg_partner_109={0x0102,0x0001}目不转睛地看着山。
msg_partner_110={0x0102,0x0001}很开心地看着山！
msg_partner_111={0x0102,0x0001}优雅地飞在空中！
msg_partner_112={0x0102,0x0001}正在惬意地放松。
msg_partner_113={0x0102,0x0001}随着船[0x000A]一摇一晃地跳起了舞来！
msg_partner_114={0x0102,0x0001}看起来[0x000A]非常游刃有余！
msg_partner_115={0x0102,0x0001}戳了戳[0x000A]你的脚。
msg_partner_116={0x0102,0x0001}[0x000A]猛地放出了火焰！
msg_partner_117={0x0102,0x0001}看起来[0x000A]摇摇欲坠的样子！
