17010101=Antitoxin
17010201=Flameproof
17010301=Lithe
17010401=Antifreeze
17010501=Snow Shelter
20010101=Sand Shelter
23010101=Sand Screen
17010601=Wide Awake
17010701=Clearheaded
17010801=Unflappable
17010901=Escape Artist
17020101=Lessen Poison 1
17020102=Lessen Poison 2
17020103=Lessen Poison 3
17020104=Lessen Poison 4
17020105=Lessen Poison 5
17020106=Lessen Poison 6
17020107=Lessen Poison 7
17020108=Lessen Poison 8
17020109=Lessen Poison 9
17020201=Lessen Paralysis 1
17020202=Lessen Paralysis 2
17020203=Lessen Paralysis 3
17020204=Lessen Paralysis 4
17020205=Lessen Paralysis 5
17020206=Lessen Paralysis 6
17020207=Lessen Paralysis 7
17020208=Lessen Paralysis 8
17020209=Lessen Paralysis 9
17020301=Lessen Sleep 1
17020302=Lessen Sleep 2
17020303=Lessen Sleep 3
17020304=Lessen Sleep 4
17020305=Lessen Sleep 5
17020306=Lessen Sleep 6
17020307=Lessen Sleep 7
17020308=Lessen Sleep 8
17020309=Lessen Sleep 9
17020401=Lessen Burn 1
17020402=Lessen Burn 2
17020403=Lessen Burn 3
17020404=Lessen Burn 4
17020405=Lessen Burn 5
17020406=Lessen Burn 6
17020407=Lessen Burn 7
17020408=Lessen Burn 8
17020409=Lessen Burn 9
17020501=Lessen Freeze 1
17020502=Lessen Freeze 2
17020503=Lessen Freeze 3
17020504=Lessen Freeze 4
17020505=Lessen Freeze 5
17020506=Lessen Freeze 6
17020507=Lessen Freeze 7
17020508=Lessen Freeze 8
17020509=Lessen Freeze 9
17020601=Lessen Confusion 1
17020602=Lessen Confusion 2
17020603=Lessen Confusion 3
17020604=Lessen Confusion 4
17020605=Lessen Confusion 5
17020606=Lessen Confusion 6
17020607=Lessen Confusion 7
17020608=Lessen Confusion 8
17020609=Lessen Confusion 9
17020701=Lessen Flinch 1
17020702=Lessen Flinch 2
17020703=Lessen Flinch 3
17020704=Lessen Flinch 4
17020705=Lessen Flinch 5
17020706=Lessen Flinch 6
17020707=Lessen Flinch 7
17020708=Lessen Flinch 8
17020709=Lessen Flinch 9
17020801=Lessen Trap 1
