我一直在等你。{0x0114,0x0030}
哎呀哎呀哎呀，真是抱歉。[0x000A]我還未自我介紹。{0xBE01}[0x000A]我叫扎奧博。{0xBE01}[0x000A]上次我說過我有非常了不起的[0x000A]東西要給你看對吧？{0xBE00}[0x000A]那了不起的東西就是……{0xBE01}[0x000A]{0xFF00,0x0001}以太樂園{0xFF00,0x0000}！！{0x0114,0x0030}
以太樂園是漂浮在[0x000A]阿羅拉海面上的寶可夢樂園！{0xBE01}[0x000A]是一座用來保護[0x000A]寶可夢的人工島！{0xBE01}[0x000A]為了證明我是一個信守承諾的大人，[0x000A]你會來以太樂園吧！？{0x0114,0x0015}
好，好，那就請上船吧。[0x000A]以太樂園真的很了不起呢。{0x0114,0x0015}
啊，是這樣啊。{0xBE01}[0x000A]小孩子……不，小朋友呢，[0x000A]就喜歡四處溜……不，{0xBE00}[0x000A]是喜歡自由自在呢。{0xBE01}[0x000A]不過，我想聽到的[0x000A]只有「是」這個回答！{0x0114,0x0015}
等等！[0x000A]也帶我去吧！{0x0114,0x0007}
哎呀？沒有想到連島嶼女王麗姿[0x000A]也來送行呢。{0x0114,0x0015}
對島嶼女王來說，[0x000A]參加諸島巡禮的訓練家{0xBE00}[0x000A]就像是自己可愛的孩子呢。{0xBE01}[0x000A]……雖然我還沒結婚就是了。{0x0114,0x0009}
你們兩個聽好了。{0xBE01}[0x000A]你們的競爭對手是你們自己，[0x000A]而寶可夢將會與你們並肩前進。{0x0114,0x0009}
博士你呢？{0x0114,0x0007}
我還有很多事要去做！{0xBE01}[0x000A]你們就代我去參觀一下基金會[0x000A]那些聽說很厲害的科技吧。{0x0114,0x0005}
嗯，對了！[0x000A]下次我們就在下一個島……{0xBE00}[0x000A]烏拉烏拉島的馬利埃庭園再見吧！{0x0114,0x0005}
嗯，再見，阿卡拉島！{0xBE01}[0x000A]是說要是有什麼事的話，[0x000A]隨時可以再回來呢。{0x0114,0x0007}
那麼，接下來這段時間就請[0x000A]好好享受這次的船上之旅吧。{0xBE01}[0x000A]……雖然只是渡船而已。{0x0114,0x0015}
