GWAZAINFO_000=Eine Feuer-Attacke, die nur Gigadynamax-Glurak[0x000A]einsetzen kann. Fügt vier Runden lang Schaden zu.
GWAZAINFO_001=Eine Käfer-Attacke, die nur Gigadynamax-Smettbo[0x000A]einsetzen kann. Gegnerische Pokémon werden entweder[0x000A]vergiftet, paralysiert oder in Schlaf versetzt.
GWAZAINFO_002=Eine Elektro-Attacke, die nur Gigadynamax-Pikachu[0x000A]einsetzen kann. Gegnerische Pokémon werden[0x000A]paralysiert.
GWAZAINFO_003=Eine Normal-Attacke, die nur Gigadynamax-Mauzi[0x000A]einsetzen kann. Verwirrt Gegner und bringt nach dem[0x000A]Kampf Geld ein.
GWAZAINFO_004=Eine Kampf-Attacke, die nur Gigadynamax-Machomei[0x000A]einsetzen kann. Erhöht die Volltrefferquote auf[0x000A]Mitstreiterseite.
GWAZAINFO_005=Eine Geister-Attacke, die nur Gigadynamax-Gengar[0x000A]einsetzen kann. Hindert gegnerische Pokémon an der[0x000A]Flucht beziehungsweise am Auswechseln.
GWAZAINFO_006=Eine Eis-Attacke, die nur Gigadynamax-Lapras[0x000A]einsetzen kann. Reduziert fünf Runden lang den[0x000A]erlittenen Schaden.
GWAZAINFO_007=Eine Normal-Attacke, die nur Gigadynamax-Evoli[0x000A]einsetzen kann. Gegnerische Pokémon verlieben[0x000A]sich in es.
GWAZAINFO_008=Eine Normal-Attacke, die nur Gigadynamax-Relaxo[0x000A]einsetzen kann. Stellt bereits verzehrte Beeren[0x000A]wieder her.
GWAZAINFO_009=Eine Gift-Attacke, die nur Gigadynamax-Deponitox[0x000A]einsetzen kann. Vergiftet gegnerische Pokémon.
GWAZAINFO_010=Eine Wasser-Attacke, die nur Gigadynamax-Kamalm[0x000A]einsetzen kann. Verstreut viele spitze Steinbrocken[0x000A]auf dem Kampffeld.
GWAZAINFO_011=Eine Flug-Attacke, die nur Gigadynamax-Krarmor[0x000A]einsetzen kann. Beseitigt die Effekte von Attacken wie[0x000A]Reflektor und Lichtschild.
GWAZAINFO_012=Eine Elektro-Attacke, die nur Gigadynamax-Riffex[0x000A]einsetzen kann. Vergiftet oder paralysiert gegnerische[0x000A]Pokémon.
GWAZAINFO_013=Eine Feen-Attacke, die nur Gigadynamax-Pokusan[0x000A]einsetzen kann. Füllt die KP auf Mitstreiterseite auf.
GWAZAINFO_014=Eine Drachen-Attacke, die nur Gigadynamax-Duraludon[0x000A]einsetzen kann. AP der letzten Attacke, die gegnerische[0x000A]Pokémon eingesetzt haben, werden gesenkt.
GWAZAINFO_015=Eine Psycho-Attacke, die nur Gigadynamax-Maritellit[0x000A]einsetzen kann. Ändert die Erdanziehung für fünf[0x000A]Runden.
GWAZAINFO_016=Eine Gesteins-Attacke, die nur Gigadynamax-[0x000A]Montecarbo einsetzen kann. Fügt vier Runden[0x000A]lang Schaden zu.
GWAZAINFO_017=Eine Boden-Attacke, die nur Gigadynamax-Sanaconda[0x000A]einsetzen kann. Eine Sandhose wütet für vier bis fünf[0x000A]Runden.
GWAZAINFO_018=Eine Unlicht-Attacke, die nur Gigadynamax-Olangaar[0x000A]einsetzen kann. Mit einem großen Gähner wird das Ziel[0x000A]müde gemacht und schläft in der nächsten Runde ein.
GWAZAINFO_019=Eine Pflanzen-Attacke, die nur Gigadynamax-Drapfel[0x000A]einsetzen kann. Senkt den Ausweichwert der[0x000A]gegnerischen Pokémon.
GWAZAINFO_020=Eine Pflanzen-Attacke, die nur Gigadynamax-Schlapfel[0x000A]einsetzen kann. Heilt Statusprobleme auf[0x000A]Mitstreiterseite.
GWAZAINFO_021=Eine Feen-Attacke, die nur Gigadynamax-Silembrim[0x000A]einsetzen kann. Verwirrt gegnerische Pokémon.
GWAZAINFO_022=Eine Stahl-Attacke, die nur Gigadynamax-Patinaraja[0x000A]einsetzen kann. Verstreut viele zackige Stahlsplitter[0x000A]auf dem Kampffeld.
GWAZAINFO_023=Eine Stahl-Attacke, die nur Gigadynamax-Melmetal[0x000A]einsetzen kann. Hindert Gegner am wiederholten[0x000A]Einsatz derselben Attacke.
GWAZAINFO_024=Eine Wasser-Attacke, die nur Gigadynamax-Kingler[0x000A]einsetzen kann. Senkt die Initiative der gegnerischen[0x000A]Pokémon stark.
GWAZAINFO_025=Eine Feuer-Attacke, die nur Gigadynamax-Infernopod[0x000A]einsetzen kann. Schließt gegnerische Pokémon vier bis[0x000A]fünf Runden in wirbelnden Flammen ein.
