msg_another_name_00={0x0102,0x0000} the Kalos Champion
msg_another_name_01={0x0102,0x0000} the Champion
msg_another_name_02={0x0102,0x0000} the Sinnoh Champion
msg_another_name_03={0x0102,0x0000} the Great Friend
msg_another_name_04={0x0102,0x0000} the Tried and True
msg_another_name_05={0x0102,0x0000} the Veteran
msg_another_name_06={0x0102,0x0000} the Master
msg_another_name_07={0x0102,0x0000} the Once Well-Trained
msg_another_name_08={0x0102,0x0000} the Once Vigilant
msg_another_name_09={0x0102,0x0000} the Once Cowardly
msg_another_name_10={0x0102,0x0000} the Once Shaken
msg_another_name_11={0x0102,0x0000} the Once Imperfect
msg_another_name_12={0x0102,0x0000} the Once Well-Rested
msg_another_name_13={0x0102,0x0000} the Once Sleepy
msg_another_name_14={0x0102,0x0000} the Once Cheery
msg_another_name_15={0x0102,0x0000} the Gorgeous
msg_another_name_16={0x0102,0x0000} the Royal
msg_another_name_17={0x0102,0x0000} the Gorgeous Royal
msg_another_name_18={0x0102,0x0000} the Model for Paintings
msg_another_name_19={0x0102,0x0000} the Strutter
msg_another_name_20={0x0102,0x0000} the Record Holder
msg_another_name_21={0x0102,0x0000} the Living Legend
msg_another_name_22={0x0102,0x0000} the Victor
msg_another_name_23={0x0102,0x0000} the Triumphant
msg_another_name_24={0x0102,0x0000} the 100× Victorious
msg_another_name_25={0x0102,0x0000} the World Conqueror
msg_another_name_26={0x0102,0x0000} the Pokémon Fan
msg_another_name_27={0x0102,0x0000} the Celebratory
msg_another_name_28={0x0102,0x0000} the Festive
msg_another_name_29={0x0102,0x0000} the Best Buddy
msg_another_name_30={0x0102,0x0000} the Premium
msg_another_name_31={0x0102,0x0000} the Cherished
msg_another_name_32={0x0102,0x0000} the Wish Granter
msg_another_name_33={0x0102,0x0000} the Battle Champion
msg_another_name_34={0x0102,0x0000} the Regional Champion
msg_another_name_35={0x0102,0x0000} the National Champion
msg_another_name_36={0x0102,0x0000} the World Champion
msg_another_name_37={0x0102,0x0000} the Treasured Memory
msg_another_name_38={0x0102,0x0000} the Exciting Memory
msg_another_name_39={0x0102,0x0000} the Hoenn Champion
msg_another_name_40={0x0102,0x0000} the Shining Star
msg_another_name_41={0x0102,0x0000} the Former Star
msg_another_name_42={0x0102,0x0000} the Vintage Beauty
msg_another_name_43={0x0102,0x0000} the Former Idol
msg_another_name_44={0x0102,0x0000} the Historic Genius
msg_another_name_45={0x0102,0x0000} the Formerly Buff
msg_another_name_46={0x0102,0x0000} the Alola Champion
msg_another_name_47={0x0102,0x0000} the Royal Master
msg_another_name_48={0x0102,0x0000} the Tree Victor
msg_another_name_49={0x0102,0x0000} the Tree Master
msg_another_name_50={0x0102,0x0000} the Galar Champion
msg_another_name_51={0x0102,0x0000} the Tower Master
msg_another_name_52={0x0102,0x0000} the Rank Master
msg_another_name_53={0x0102,0x0000} the Peckish
msg_another_name_54={0x0102,0x0000} the Sleepy
msg_another_name_55={0x0102,0x0000} the Dozy
msg_another_name_56={0x0102,0x0000} the Early Riser
msg_another_name_57={0x0102,0x0000} the Cloud Watcher
msg_another_name_58={0x0102,0x0000} the Sodden
msg_another_name_59={0x0102,0x0000} the Thunderstruck
msg_another_name_60={0x0102,0x0000} the Snow Frolicker
msg_another_name_61={0x0102,0x0000} the Shivering
msg_another_name_62={0x0102,0x0000} the Parched
msg_another_name_63={0x0102,0x0000} the Sandswept
msg_another_name_64={0x0102,0x0000} the Mist Drifter
msg_another_name_65={0x0102,0x0000} the Chosen One
msg_another_name_66={0x0102,0x0000} the Catch of the Day
msg_another_name_67={0x0102,0x0000} the Curry Connoisseur
msg_another_name_68={0x0102,0x0000} the Sociable
msg_another_name_69={0x0102,0x0000} the Recluse
msg_another_name_70={0x0102,0x0000} the Rowdy
msg_another_name_71={0x0102,0x0000} the Spacey
msg_another_name_74={0x0102,0x0000} the Anxious
msg_another_name_75={0x0102,0x0000} the Giddy
msg_another_name_76={0x0102,0x0000} the Radiant
msg_another_name_77={0x0102,0x0000} the Serene
msg_another_name_78={0x0102,0x0000} the Feisty
msg_another_name_79={0x0102,0x0000} the Daydreamer
msg_another_name_80={0x0102,0x0000} the Joyful
msg_another_name_81={0x0102,0x0000} the Furious
msg_another_name_82={0x0102,0x0000} the Beaming
msg_another_name_83={0x0102,0x0000} the Teary-Eyed
msg_another_name_84={0x0102,0x0000} the Chipper
msg_another_name_85={0x0102,0x0000} the Grumpy
msg_another_name_86={0x0102,0x0000} the Scholar
msg_another_name_87={0x0102,0x0000} the Rampaging
msg_another_name_88={0x0102,0x0000} the Opportunist
msg_another_name_89={0x0102,0x0000} the Stern
msg_another_name_90={0x0102,0x0000} the Kindhearted
msg_another_name_91={0x0102,0x0000} the Easily Flustered
msg_another_name_92={0x0102,0x0000} the Driven
msg_another_name_93={0x0102,0x0000} the Apathetic
msg_another_name_94={0x0102,0x0000} the Arrogant
msg_another_name_95={0x0102,0x0000} the Reluctant
msg_another_name_96={0x0102,0x0000} the Humble
msg_another_name_97={0x0102,0x0000} the Pompous
msg_another_name_98={0x0102,0x0000} the Lively
msg_another_name_99={0x0102,0x0000} the Worn-Out
