ZKN_HEIGHT_000_000=???,? m
ZKN_HEIGHT_001_000=0,7 m
ZKN_HEIGHT_002_000=1,0 m
ZKN_HEIGHT_003_000=2,0 m
ZKN_HEIGHT_004_000=0,6 m
ZKN_HEIGHT_005_000=1,1 m
ZKN_HEIGHT_006_000=1,7 m
ZKN_HEIGHT_007_000=0,5 m
ZKN_HEIGHT_008_000=1,0 m
ZKN_HEIGHT_009_000=1,6 m
ZKN_HEIGHT_010_000=0,3 m
ZKN_HEIGHT_011_000=0,7 m
ZKN_HEIGHT_012_000=1,1 m
ZKN_HEIGHT_013_000=0,3 m
ZKN_HEIGHT_014_000=0,6 m
ZKN_HEIGHT_015_000=1,0 m
ZKN_HEIGHT_016_000=0,3 m
ZKN_HEIGHT_017_000=1,1 m
ZKN_HEIGHT_018_000=1,5 m
ZKN_HEIGHT_019_000=0,3 m
ZKN_HEIGHT_020_000=0,7 m
ZKN_HEIGHT_021_000=0,3 m
ZKN_HEIGHT_022_000=1,2 m
ZKN_HEIGHT_023_000=2,0 m
ZKN_HEIGHT_024_000=3,5 m
ZKN_HEIGHT_025_000=0,4 m
ZKN_HEIGHT_026_000=0,8 m
ZKN_HEIGHT_027_000=0,6 m
ZKN_HEIGHT_028_000=1,0 m
ZKN_HEIGHT_029_000=0,4 m
ZKN_HEIGHT_030_000=0,8 m
ZKN_HEIGHT_031_000=1,3 m
ZKN_HEIGHT_032_000=0,5 m
ZKN_HEIGHT_033_000=0,9 m
ZKN_HEIGHT_034_000=1,4 m
ZKN_HEIGHT_035_000=0,6 m
ZKN_HEIGHT_036_000=1,3 m
ZKN_HEIGHT_037_000=0,6 m
ZKN_HEIGHT_038_000=1,1 m
ZKN_HEIGHT_039_000=0,5 m
ZKN_HEIGHT_040_000=1,0 m
ZKN_HEIGHT_041_000=0,8 m
ZKN_HEIGHT_042_000=1,6 m
ZKN_HEIGHT_043_000=0,5 m
ZKN_HEIGHT_044_000=0,8 m
ZKN_HEIGHT_045_000=1,2 m
ZKN_HEIGHT_046_000=0,3 m
ZKN_HEIGHT_047_000=1,0 m
ZKN_HEIGHT_048_000=1,0 m
ZKN_HEIGHT_049_000=1,5 m
ZKN_HEIGHT_050_000=0,2 m
ZKN_HEIGHT_051_000=0,7 m
ZKN_HEIGHT_052_000=0,4 m
ZKN_HEIGHT_053_000=1,0 m
ZKN_HEIGHT_054_000=0,8 m
ZKN_HEIGHT_055_000=1,7 m
ZKN_HEIGHT_056_000=0,5 m
ZKN_HEIGHT_057_000=1,0 m
ZKN_HEIGHT_058_000=0,7 m
ZKN_HEIGHT_059_000=1,9 m
ZKN_HEIGHT_060_000=0,6 m
ZKN_HEIGHT_061_000=1,0 m
ZKN_HEIGHT_062_000=1,3 m
ZKN_HEIGHT_063_000=0,9 m
ZKN_HEIGHT_064_000=1,3 m
ZKN_HEIGHT_065_000=1,5 m
ZKN_HEIGHT_066_000=0,8 m
ZKN_HEIGHT_067_000=1,5 m
ZKN_HEIGHT_068_000=1,6 m
ZKN_HEIGHT_069_000=0,7 m
ZKN_HEIGHT_070_000=1,0 m
ZKN_HEIGHT_071_000=1,7 m
ZKN_HEIGHT_072_000=0,9 m
ZKN_HEIGHT_073_000=1,6 m
ZKN_HEIGHT_074_000=0,4 m
ZKN_HEIGHT_075_000=1,0 m
ZKN_HEIGHT_076_000=1,4 m
ZKN_HEIGHT_077_000=1,0 m
ZKN_HEIGHT_078_000=1,7 m
