ZKN_TYPE_000=Pokémon ?????
ZKN_TYPE_001=Pokémon Graine
ZKN_TYPE_002=Pokémon Graine
ZKN_TYPE_003=Pokémon Graine
ZKN_TYPE_004=Pokémon Lézard
ZKN_TYPE_005=Pokémon Flamme
ZKN_TYPE_006=Pokémon Flamme
ZKN_TYPE_007=Pokémon Minitortue
ZKN_TYPE_008=Pokémon Tortue
ZKN_TYPE_009=Pokémon Carapace
ZKN_TYPE_010=Pokémon Ver
ZKN_TYPE_011=Pokémon Cocon
ZKN_TYPE_012=Pokémon Papillon
ZKN_TYPE_013=Pokémon Insectopic
ZKN_TYPE_014=Pokémon Cocon
ZKN_TYPE_015=Pokémon Guêpoison
ZKN_TYPE_016=Pokémon Minoiseau
ZKN_TYPE_017=Pokémon Oiseau
ZKN_TYPE_018=Pokémon Oiseau
ZKN_TYPE_019=Pokémon Souris
ZKN_TYPE_020=Pokémon Souris
ZKN_TYPE_021=Pokémon Minoiseau
ZKN_TYPE_022=Pokémon Bec-Oiseau
ZKN_TYPE_023=Pokémon Serpent
ZKN_TYPE_024=Pokémon Cobra
ZKN_TYPE_025=Pokémon Souris
ZKN_TYPE_026=Pokémon Souris
ZKN_TYPE_027=Pokémon Souris
ZKN_TYPE_028=Pokémon Souris
ZKN_TYPE_029=Pokémon Vénépic
ZKN_TYPE_030=Pokémon Vénépic
ZKN_TYPE_031=Pokémon Perceur
ZKN_TYPE_032=Pokémon Vénépic
ZKN_TYPE_033=Pokémon Vénépic
ZKN_TYPE_034=Pokémon Perceur
ZKN_TYPE_035=Pokémon Fée
ZKN_TYPE_036=Pokémon Fée
ZKN_TYPE_037=Pokémon Renard
ZKN_TYPE_038=Pokémon Renard
ZKN_TYPE_039=Pokémon Bouboule
ZKN_TYPE_040=Pokémon Bouboule
ZKN_TYPE_041=Pokémon Chovsouris
ZKN_TYPE_042=Pokémon Chovsouris
ZKN_TYPE_043=Pokémon Racine
ZKN_TYPE_044=Pokémon Racine
ZKN_TYPE_045=Pokémon Fleur
ZKN_TYPE_046=Pokémon Champignon
ZKN_TYPE_047=Pokémon Champignon
ZKN_TYPE_048=Pokémon Vermine
ZKN_TYPE_049=Pokémon Papipoison
ZKN_TYPE_050=Pokémon Taupe
