ZKN_TYPE_000=Pokémon ?????
ZKN_TYPE_001=Pokémon Seme
ZKN_TYPE_002=Pokémon Seme
ZKN_TYPE_003=Pokémon Seme
ZKN_TYPE_004=Pokémon Lucertola
ZKN_TYPE_005=Pokémon Fiamma
ZKN_TYPE_006=Pokémon Fiamma
ZKN_TYPE_007=Pokémon Tartaghina
ZKN_TYPE_008=Pokémon Tartaruga
ZKN_TYPE_009=Pokémon Crostaceo
ZKN_TYPE_010=Pokémon Baco
ZKN_TYPE_011=Pokémon Bozzolo
ZKN_TYPE_012=Pokémon Farfalla
ZKN_TYPE_013=Pokémon Millepiedi
ZKN_TYPE_014=Pokémon Bozzolo
ZKN_TYPE_015=Pokémon Velenape
ZKN_TYPE_016=Pokémon Uccellino
ZKN_TYPE_017=Pokémon Uccello
ZKN_TYPE_018=Pokémon Uccello
ZKN_TYPE_019=Pokémon Topo
ZKN_TYPE_020=Pokémon Topo
ZKN_TYPE_021=Pokémon Uccellino
ZKN_TYPE_022=Pokémon Becco
ZKN_TYPE_023=Pokémon Serpente
ZKN_TYPE_024=Pokémon Cobra
ZKN_TYPE_025=Pokémon Topo
ZKN_TYPE_026=Pokémon Topo
ZKN_TYPE_027=Pokémon Topo
ZKN_TYPE_028=Pokémon Topo
ZKN_TYPE_029=Pokémon Velenago
ZKN_TYPE_030=Pokémon Velenago
ZKN_TYPE_031=Pokémon Trapano
ZKN_TYPE_032=Pokémon Velenago
ZKN_TYPE_033=Pokémon Velenago
ZKN_TYPE_034=Pokémon Trapano
ZKN_TYPE_035=Pokémon Fata
ZKN_TYPE_036=Pokémon Fata
ZKN_TYPE_037=Pokémon Volpe
ZKN_TYPE_038=Pokémon Volpe
ZKN_TYPE_039=Pokémon Pallone
ZKN_TYPE_040=Pokémon Pallone
ZKN_TYPE_041=Pokémon Pipistrello
ZKN_TYPE_042=Pokémon Pipistrello
ZKN_TYPE_043=Pokémon Malerba
ZKN_TYPE_044=Pokémon Malerba
ZKN_TYPE_045=Pokémon Fiore
ZKN_TYPE_046=Pokémon Fungo
ZKN_TYPE_047=Pokémon Fungo
ZKN_TYPE_048=Pokémon Insetto
ZKN_TYPE_049=Pokémon Velentarma
ZKN_TYPE_050=Pokémon Talpa
ZKN_TYPE_051=Pokémon Talpa
ZKN_TYPE_052=Pokémon Graffimiao
ZKN_TYPE_053=Pokémon Nobilgatto
ZKN_TYPE_054=Pokémon Papero
ZKN_TYPE_055=Pokémon Papero
ZKN_TYPE_056=Pokémon Suinpanzé
ZKN_TYPE_057=Pokémon Suinpanzé
ZKN_TYPE_058=Pokémon Cagnolino
ZKN_TYPE_059=Pokémon Leggenda
ZKN_TYPE_060=Pokémon Girino
ZKN_TYPE_061=Pokémon Girino
ZKN_TYPE_062=Pokémon Girino
ZKN_TYPE_063=Pokémon Psico
ZKN_TYPE_064=Pokémon Psico
ZKN_TYPE_065=Pokémon Psico
ZKN_TYPE_066=Pokémon Megaforza
ZKN_TYPE_067=Pokémon Megaforza
ZKN_TYPE_068=Pokémon Megaforza
ZKN_TYPE_069=Pokémon Fiore
ZKN_TYPE_070=Pokémon Moschivoro
ZKN_TYPE_071=Pokémon Moschivoro
ZKN_TYPE_072=Pokémon Medusa
ZKN_TYPE_073=Pokémon Medusa
ZKN_TYPE_074=Pokémon Roccia
ZKN_TYPE_075=Pokémon Roccia
ZKN_TYPE_076=Pokémon Megatone
ZKN_TYPE_077=Pokémon Cavalfuoco
ZKN_TYPE_078=Pokémon Cavalfuoco
ZKN_TYPE_079=Pokémon Ronfone
ZKN_TYPE_080=Pokémon Paguro
ZKN_TYPE_081=Pokémon Calamita
ZKN_TYPE_082=Pokémon Calamita
ZKN_TYPE_083=Pokémon Selvanatra
ZKN_TYPE_084=Pokémon Biuccello
ZKN_TYPE_085=Pokémon Triuccello
ZKN_TYPE_086=Pokémon Otaria
ZKN_TYPE_087=Pokémon Otaria
ZKN_TYPE_088=Pokémon Melma
ZKN_TYPE_089=Pokémon Melma
ZKN_TYPE_090=Pokémon Bivalve
ZKN_TYPE_091=Pokémon Bivalve
ZKN_TYPE_092=Pokémon Gas
ZKN_TYPE_093=Pokémon Gas
ZKN_TYPE_094=Pokémon Ombra
ZKN_TYPE_095=Pokémon Serpesasso
ZKN_TYPE_096=Pokémon Ipnosi
ZKN_TYPE_097=Pokémon Ipnosi
ZKN_TYPE_098=Pokémon Granchio
ZKN_TYPE_099=Pokémon Chela
ZKN_TYPE_100=Pokémon Ball
ZKN_TYPE_101=Pokémon Ball
