おまちして　おりました{0x0114,0x0030}
いやいやいや　これは　しつれい[0x000A]あいさつが　おくれました{0xBE01}[0x000A]わたし　ザオボーと　いいます{0xBE01}[0x000A]いぜん　あなたに　すばらしいものを[0x000A]おみせすると　いいましたよね？{0xBE00}[0x000A]その　すばらしいもの　とは……{0xBE01}[0x000A]{0xFF00,0x0001}エーテルパラダイス{0xFF00,0x0000}！！{0x0114,0x0030}
エーテルパラダイスとは[0x000A]アローラの　うみに　うかぶ{0xBE00}[0x000A]ポケモンの　らくえん！{0xBE01}[0x000A]ポケモンを　ほごするための[0x000A]じんこうの　しま！{0xBE01}[0x000A]わたしが　やくそくを　まもる[0x000A]おとなだと　しょうめい　するために{0xBE00}[0x000A]エーテルパラダイスに　きますよね！？{0x0114,0x0015}
ええ　ええ　おのりください[0x000A]エーテルパラダイスは　すごいですよ{0x0114,0x0015}
まあ　そうですよねえ{0xBE01}[0x000A]こどもって……　いえ　おこさまって[0x000A]ふらふら　して……　いえ{0xBE00}[0x000A]フリーダムな　そんざい　ですからね{0xBE01}[0x000A]ですが　わたしが　ききたいのは[0x000A]はい　という　へんじ　だけなのです！{0x0114,0x0015}
まってー！[0x000A]おれも　つれてってー！{0x0114,0x0007}
あら？　しまクイーンの[0x000A]ライチさんまで　おみおくり　とは{0x0114,0x0015}
しまめぐりを　する　トレーナーは[0x000A]しまクイーンに　とって　かわいい{0xBE00}[0x000A]こども　みたいな　そんざい　だからね{0xBE01}[0x000A]……けっこん　したこと　ないけどさ{0x0114,0x0009}
いいかい　ふたりとも{0xBE01}[0x000A]きそう　あいては　じぶんじしん[0x000A]ともに　あゆむのは　ポケモンだよ{0x0114,0x0009}
はかせはー？{0x0114,0x0007}
ぼくには　やるべきことが[0x000A]たくさん　あるからね！{0xBE01}[0x000A]ぼくの　かわりに　すごい　といわれる[0x000A]ざいだんの　テクノロジーを　みてきてよ{0x0114,0x0005}
うーん　そうだな！[0x000A]こんどは　つぎの　しま……{0xBE01}[0x000A]ウラウラじまの[0x000A]マリエていえんで　あおうぜ！{0x0114,0x0005}
うん　さよならー[0x000A]アーカラじまー！{0xBE01}[0x000A]なんかあれば　また　もどってくれば[0x000A]いいだけだもんねー{0x0114,0x0007}
それでは　しばしのあいだ[0x000A]ふなたびを　おたのしみ　ください{0xBE01}[0x000A]……れんらくせん　ですけどね{0x0114,0x0015}
