……ちからつきた[0x000A]ネクロズマが　ひざまづいている
ネクロズマに　Ｚパワーリングの[0x000A]ひかりを　あたえますか？
あたえる
やめておく
リノ……！！
ネクロズマは[0x000A]どこかに　きえさった……
ネクロズマから　こぼれた[0x000A]Ｚクリスタルを　みつけた……
{0x0100,0x0000}は[0x000A]ウルトラネクロＺを　てにいれた！
よろしいっ！{0x0114,0x002B}
ひさしぶり　です！ [0x000A]{0x0100,0x0000}さん！{0xBE01}[0x000A]ネクロズマを　なかまに　するとは[0x000A]あなた　とても　ゆうしゅうです！{0x0114,0x002B}
よろしい！ [0x000A]これは　わたくしから　です！ {0xBE01}[0x000A]ウルトラちょうさたい　より[0x000A]ネクロズマを　せいぎょする　そうちの{0xBE00}[0x000A]かいはつを　たのまれていたのですが{0xBE00}[0x000A]きにいらず　かいりょう　したのです！{0xBE01}[0x000A]ネクロズマの　さらなる[0x000A]ちからを　ひきだすための　モノッ！！{0x0114,0x002B}
よろしい！ [0x000A]これは　わたくしから　です！ {0xBE01}[0x000A]ウルトラちょうさたい　より[0x000A]ネクロズマを　せいぎょする　そうちの{0xBE00}[0x000A]かいはつを　たのまれていたのですが{0xBE00}[0x000A]きにいらず　かいりょう　したのです！{0xBE01}[0x000A]ネクロズマの　さらなる[0x000A]ちからを　ひきだすための　モノッ！！{0x0114,0x002B}
すなわち！　ネクロズマと[0x000A]でんせつのポケモン　ソルガレオとの{0xBE00}[0x000A]がったいを　かのうにする　そうち！{0xBE01}[0x000A]アクロママシーン　１１９８ごう！[0x000A]せいしきめい　ネクロプラスソル！！{0x0114,0x002B}
さらにッ！　ネクロズマと[0x000A]でんせつのポケモン　ルナアーラとの{0xBE00}[0x000A]がったいを　かのうにする　そうちも！{0xBE01}[0x000A]アクロママシーン　１１９９ごう！[0x000A]せいしきめい　ネクロプラスルナ！！{0x0114,0x002B}
そういえば　ききましたよ{0xBE01}[0x000A]あなたと　ソルガレオ……　の[0x000A]しんかまえ　コスモッグが　はじめて{0xBE00}[0x000A]あったのは　マハロさんどう　だと{0x0114,0x002B}
そういえば　ききましたよ{0xBE01}[0x000A]あなたと　ルナアーラ……　の[0x000A]しんかまえ　コスモッグが　はじめて{0xBE00}[0x000A]あったのは　マハロさんどう　だと{0x0114,0x002B}
あなたのような　トレーナー　でしたら[0x000A]アローラの　でんせつポケモンと{0xBE00}[0x000A]ネクロズマの　すさまじい　ちからも{0xBE00}[0x000A]ただしく　つかえるでしょうねっ！！{0x0114,0x002B}
いろいろ　ありましてね……[0x000A]わたくし　ポケモンの　がったいには{0xBE00}[0x000A]ちょっと　くわしいのですよっ！{0xBE01}[0x000A]では　ごぶうんを！ {0x0114,0x002B}
