お待ちして　おりました{0x0114,0x0030}
いやいやいや　これは　失礼[0x000A]あいさつが　遅れました{0xBE01}[0x000A]わたし　ザオボーと　いいます{0xBE01}[0x000A]以前　あなたに　すばらしいものを[0x000A]おみせすると　いいましたよね？{0xBE00}[0x000A]その　すばらしいもの　とは……{0xBE01}[0x000A]{0xFF00,0x0001}エーテルパラダイス{0xFF00,0x0000}！！{0x0114,0x0030}
エーテルパラダイスとは[0x000A]アローラの　海に　浮かぶ{0xBE00}[0x000A]ポケモンの　楽園！{0xBE01}[0x000A]ポケモンを　保護するための[0x000A]人工の　島！{0xBE01}[0x000A]わたしが　約束を　守る[0x000A]大人だと　証明するために{0xBE00}[0x000A]エーテルパラダイスに　来ますよね！？{0x0114,0x0015}
ええ　ええ　お乗りください[0x000A]エーテルパラダイスは　すごいですよ{0x0114,0x0015}
まあ　そうですよねえ{0xBE01}[0x000A]子供って……　いえ　お子さまって[0x000A]ふらふら　して……　いえ{0xBE00}[0x000A]フリーダムな　存在ですからね{0xBE01}[0x000A]ですが　わたしが　ききたいのは[0x000A]はい　という　返事だけなのです！{0x0114,0x0015}
待ってー！[0x000A]おれも　連れてってー！{0x0114,0x0007}
あら？　しまクイーンの[0x000A]ライチさんまで　お見送り　とは{0x0114,0x0015}
島巡りを　する　トレーナーは[0x000A]しまクイーンに　とって　かわいい{0xBE00}[0x000A]子供みたいな　存在だからね{0xBE01}[0x000A]……結婚したこと　ないけどさ{0x0114,0x0009}
いいかい　ふたりとも{0xBE01}[0x000A]競う　相手は　自分自身[0x000A]ともに　歩むのは　ポケモンだよ{0x0114,0x0009}
博士はー？{0x0114,0x0007}
ぼくには　やるべきことが[0x000A]たくさん　あるからね！{0xBE01}[0x000A]ぼくの　代わりに　すごい　といわれる[0x000A]財団の　テクノロジーを　みてきてよ{0x0114,0x0005}
うーん　そうだな！[0x000A]今度は　次の島……{0xBE01}[0x000A]ウラウラ島の[0x000A]マリエ庭園で　会おうぜ！{0x0114,0x0005}
うん　さよならー[0x000A]アーカラ島ー！{0xBE01}[0x000A]なんかあれば　また　戻ってくれば[0x000A]いいだけだもんねー{0x0114,0x0007}
それでは　しばしのあいだ[0x000A]船旅を　お楽しみ　ください{0xBE01}[0x000A]……連絡船　ですけどね{0x0114,0x0015}
