……力尽きた[0x000A]ネクロズマが　ひざまづいている
ネクロズマに　Ｚパワーリングの[0x000A]光を　与えますか？
与える
やめておく
リノ……！！
ネクロズマは[0x000A]どこかに　消え去った……
ネクロズマから　こぼれた[0x000A]Ｚクリスタルを　みつけた……
{0x0100,0x0000}は[0x000A]ウルトラネクロＺを　手に入れた！
よろしいっ！{0x0114,0x002B}
ひさしぶり　です！ [0x000A]{0x0100,0x0000}さん！{0xBE01}[0x000A]ネクロズマを　仲間に　するとは[0x000A]あなた　とても　優秀です！{0x0114,0x002B}
よろしい！ [0x000A]これは　わたくしから　です！ {0xBE01}[0x000A]ウルトラ調査隊　より[0x000A]ネクロズマを　制御する　装置の{0xBE00}[0x000A]開発を　頼まれていたのですが{0xBE00}[0x000A]気に入らず　改良したのです！{0xBE01}[0x000A]ネクロズマの　さらなる[0x000A]力を　引きだすための　モノッ！！{0x0114,0x002B}
よろしい！ [0x000A]これは　わたくしから　です！ {0xBE01}[0x000A]ウルトラ調査隊　より[0x000A]ネクロズマを　制御する　装置の{0xBE00}[0x000A]開発を　頼まれていたのですが{0xBE00}[0x000A]気に入らず　改良したのです！{0xBE01}[0x000A]ネクロズマの　さらなる[0x000A]力を　引きだすための　モノッ！！{0x0114,0x002B}
すなわち！　ネクロズマと[0x000A]伝説のポケモン　ソルガレオとの{0xBE00}[0x000A]合体を　可能にする　装置！{0xBE01}[0x000A]アクロママシーン　１１９８号！[0x000A]正式名　ネクロプラスソル！！{0x0114,0x002B}
さらにッ！　ネクロズマと[0x000A]伝説のポケモン　ルナアーラとの{0xBE00}[0x000A]合体を　可能にする　装置も！{0xBE01}[0x000A]アクロママシーン　１１９９号！[0x000A]正式名　ネクロプラスルナ！！{0x0114,0x002B}
そういえば　ききましたよ{0xBE01}[0x000A]あなたと　ソルガレオ……　の[0x000A]進化前　コスモッグが　はじめて{0xBE00}[0x000A]会ったのは　マハロ山道だと{0x0114,0x002B}
そういえば　ききましたよ{0xBE01}[0x000A]あなたと　ルナアーラ……　の[0x000A]進化前　コスモッグが　はじめて{0xBE00}[0x000A]会ったのは　マハロ山道だと{0x0114,0x002B}
あなたのような　トレーナー　でしたら[0x000A]アローラの　伝説ポケモンと{0xBE00}[0x000A]ネクロズマの　すさまじい　力も{0xBE00}[0x000A]正しく　使えるでしょうねっ！！{0x0114,0x002B}
いろいろ　ありましてね……[0x000A]わたくし　ポケモンの　合体には{0xBE00}[0x000A]ちょっと　詳しいのですよっ！{0xBE01}[0x000A]では　ご武運を！ {0x0114,0x002B}
