我一直在等你。{0x0114,0x0030}
哎呀哎呀哎呀，真是抱歉。[0x000A]我还没自我介绍。{0xBE01}[0x000A]我叫扎奥博。{0xBE01}[0x000A]上次，我说过我有非常棒的[0x000A]东西要给你看的吧？{0xBE00}[0x000A]那非常棒的东西就是……{0xBE01}[0x000A]{0xFF00,0x0001}以太乐园{0xFF00,0x0000}！！{0x0114,0x0030}
以太乐园就是漂浮在[0x000A]阿罗拉海面上的宝可梦乐园！{0xBE01}[0x000A]是一座用来保护[0x000A]宝可梦的人工岛！{0xBE01}[0x000A]为了证明我是一个信守承诺的大人，[0x000A]你会来以太乐园的吧！？{0x0114,0x0015}
好，好，那就请上船吧。[0x000A]以太乐园可厉害了呢。{0x0114,0x0015}
啊，是这样啊。{0xBE01}[0x000A]小孩子……不，小朋友呢，[0x000A]就喜欢四处溜达……不，{0xBE00}[0x000A]是喜欢自由自在呢。{0xBE01}[0x000A]不过，我想听到的[0x000A]只有“是”这个回答！{0x0114,0x0015}
等等！[0x000A]也带上我啊！{0x0114,0x0007}
哎呀？没想到连岛屿女王丽姿[0x000A]也会来送行呢。{0x0114,0x0015}
对岛屿女王来说，[0x000A]进行诸岛巡礼的训练家{0xBE00}[0x000A]就像是自己可爱的孩子呢。{0xBE01}[0x000A]……虽然我还没结婚。{0x0114,0x0009}
听好了，你们两个。{0xBE01}[0x000A]你们的竞争对手是你们自己，[0x000A]而与你们并肩前进的是宝可梦。{0x0114,0x0009}
博士你呢？{0x0114,0x0007}
我还有很多事要去做！{0xBE01}[0x000A]你们就代我去看看基金会[0x000A]那些据说很厉害的科技吧。{0x0114,0x0005}
嗯，对了！[0x000A]下次，我们就在下个岛……{0xBE00}[0x000A]乌拉乌拉岛的马利埃庭园再见吧！{0x0114,0x0005}
嗯，再见，阿卡拉岛！{0xBE01}[0x000A]不过，要是有什么事，[0x000A]随时回来就好了。{0x0114,0x0007}
那么，就请好好享受[0x000A]接下来的船上之旅吧。{0xBE01}[0x000A]……虽然这只是艘渡船。{0x0114,0x0015}
